	PC1	PC2	PC3	PC4
Group:setosa	1.054260286e-01	-3.812012320e-02	-4.603764135e-02	-7.676137146e-03
Group:setosa	1.035543714e-01	-1.924673068e-02	-5.629167858e-02	-5.034306910e-02
Group:setosa	1.071076851e-01	3.164671687e-02	1.494427363e-02	6.198936809e-02
Group:setosa	1.009060325e-01	4.773115834e-02	-1.283458898e-02	2.639861674e-02
Group:setosa	8.918956454e-02	-2.987127172e-02	-5.282229072e-02	-1.384764998e-01
Group:setosa	1.298746875e-01	-1.482607585e-01	-6.748420471e-03	1.311564809e-01
Group:setosa	1.230806249e-01	-1.776252773e-01	-3.186928996e-02	2.738545664e-02
Group:setosa	9.976567012e-02	4.511956123e-02	-3.127494764e-02	-1.831347024e-02
Group:setosa	1.052814145e-01	2.390060250e-02	-4.083456901e-02	-9.804102665e-02
Group:setosa	1.004101251e-01	-4.604359150e-02	-1.009009507e-01	-1.159182643e-01
Group:setosa	1.223426717e-01	-4.614768159e-02	-2.239763989e-03	7.785221585e-02
Group:setosa	1.131647236e-01	7.758300110e-02	4.792620857e-02	7.215229921e-03
Group:setosa	1.046947337e-01	-1.663513357e-02	-3.785131992e-02	-5.630982124e-03
Group:setosa	1.104362030e-01	-3.510987907e-02	8.500412013e-03	-6.002432746e-02
Group:setosa	8.251441210e-02	2.038080779e-01	-1.914187492e-02	-1.672081395e-01
Group:setosa	1.200976711e-01	4.001357000e-02	6.751874974e-02	4.076082624e-02
Group:setosa	9.470230451e-02	-4.307888383e-02	6.833891983e-02	-9.692941332e-02
Group:setosa	1.048817301e-01	-9.726401954e-02	4.214163425e-02	8.864508754e-02
Group:setosa	9.697937538e-02	6.412556987e-02	-4.057990228e-03	-8.035827810e-02
Group:setosa	1.169658122e-01	-9.186267273e-02	1.791529065e-03	8.735434432e-02
Group:setosa	1.130324969e-01	3.452434488e-02	3.201133235e-02	2.901905367e-02
Group:setosa	1.096237973e-01	-7.838982837e-02	-4.442769220e-02	7.051505994e-03
Group:setosa	1.055582553e-01	4.938533023e-03	-3.012276513e-02	-2.947996090e-02
Group:versicolor	-4.903853550e-02	-6.402046833e-02	-1.506037452e-01	-2.645535644e-02
Group:versicolor	-3.308764579e-02	-5.020912789e-02	-2.413532378e-02	-3.531734018e-03
Group:versicolor	-5.660927973e-02	-4.528049059e-02	-1.220134879e-01	-1.081776291e-02
Group:versicolor	-2.439558491e-02	1.487344795e-01	8.275930626e-03	-3.820434964e-02
Group:versicolor	-5.128353615e-02	2.214078326e-02	-8.084523149e-02	-6.354674605e-02
Group:versicolor	-2.050765629e-02	4.896696876e-02	2.358093275e-02	1.374944038e-01
Group:versicolor	-3.372544251e-02	-6.903858125e-02	2.404747474e-02	4.565145584e-02
Group:versicolor	1.759512633e-02	1.544751210e-01	6.429817891e-02	2.480471830e-02
Group:versicolor	-4.325260859e-02	5.791109548e-03	-1.280083582e-01	1.079975710e-02
Group:versicolor	-4.379153198e-03	7.921745854e-02	1.204394250e-01	2.125073968e-02
Group:versicolor	-2.195580527e-03	2.267363552e-01	8.046037849e-03	-9.316159934e-03
Group:versicolor	-2.156024962e-02	1.127704492e-03	4.481179519e-02	-2.066996581e-02
Group:versicolor	-3.058850389e-02	1.617207985e-01	-1.498985079e-01	-3.447942646e-02
Group:versicolor	-3.482134721e-02	1.663614501e-02	-1.814922882e-02	9.258782773e-02
Group:versicolor	4.734476290e-05	3.368061998e-02	4.723989553e-02	-5.996204904e-02
Group:versicolor	-3.951502325e-02	-3.686889965e-02	-1.078255397e-01	-6.445669644e-02
Group:versicolor	-1.813916259e-02	8.962495829e-03	1.001328712e-01	1.134662951e-01
Group:versicolor	-9.380593927e-03	7.310909197e-02	-6.449420431e-02	1.129146045e-01
Group:versicolor	-6.228202567e-02	1.430385758e-01	-8.613284559e-02	-1.336238093e-01
Group:versicolor	-1.130336709e-02	1.136887672e-01	-2.954869212e-02	2.702081788e-02
Group:versicolor	-3.514565006e-02	-4.467676227e-02	1.256161441e-01	5.365294604e-02
Group:versicolor	-2.347428917e-02	3.860925728e-02	-5.063826855e-02	-6.724807793e-02
Group:versicolor	-6.099704922e-02	8.362944716e-02	-7.289555927e-02	1.453167224e-03
Group:versicolor	-3.098818831e-02	4.055617648e-02	-6.692230465e-02	1.522066877e-01
Group:versicolor	-3.299780142e-02	1.145768860e-02	-9.341647408e-02	-2.924673793e-02
Group:versicolor	-4.024631817e-02	-1.538391003e-02	-9.963921826e-02	-6.241154142e-02
Group:versicolor	-5.902888934e-02	1.643026505e-02	-1.533658769e-01	-3.001650892e-02
Group:versicolor	-6.349984495e-02	-2.631921977e-02	-5.641000252e-02	-4.045217907e-02
Group:versicolor	-3.254635170e-02	1.694611507e-02	1.840623253e-02	2.142168423e-02
Group:versicolor	-5.429898728e-04	9.512614339e-02	-5.905448276e-02	-4.040504325e-02
Group:versicolor	-1.043984551e-02	1.352624338e-01	-2.182013733e-02	3.171839101e-03
Group:versicolor	-5.195212694e-03	1.379187687e-01	-4.176630660e-02	1.547353439e-02
Group:versicolor	-1.349059359e-02	6.815112998e-02	-2.643293236e-02	-1.526532125e-02
Group:versicolor	-5.269801451e-02	5.141582641e-02	2.104869387e-02	1.050450616e-01
Group:versicolor	-1.266880491e-02	1.436304398e-02	1.360980552e-01	1.511022015e-01
Group:versicolor	-1.886379925e-02	-7.954512063e-02	8.687598808e-02	6.708984596e-02
Group:versicolor	-4.794928906e-02	-3.970258851e-02	-8.696383712e-02	-2.497012414e-02
Group:versicolor	-5.265628161e-02	1.267775790e-01	-1.337537389e-01	-8.517143992e-02
Group:versicolor	-4.460263956e-03	1.445251961e-02	5.932499935e-02	8.628141811e-02
Group:versicolor	-1.746263740e-02	1.111650484e-01	2.786847179e-02	-4.658753312e-03
Group:versicolor	-1.672561330e-02	9.459328294e-02	2.000740634e-02	1.538864091e-01
Group:versicolor	-2.976005696e-02	-2.059893569e-03	-8.810724879e-03	8.346649209e-02
Group:versicolor	-1.855188384e-02	8.684716857e-02	-3.577143630e-02	-6.143985617e-03
Group:versicolor	1.139347373e-02	1.705595625e-01	3.651931631e-02	-1.078603304e-02
Group:versicolor	-1.645450172e-02	7.071798929e-02	3.039395424e-02	6.185715742e-02
Group:versicolor	-5.140442966e-03	1.423122652e-02	2.231177135e-02	1.315534278e-01
Group:versicolor	-1.225673305e-02	3.044828411e-02	3.200390339e-02	7.658480056e-02
Group:versicolor	-2.752744374e-02	1.685823676e-02	-5.745129004e-02	8.389168440e-03
Group:versicolor	1.672587556e-02	1.279882303e-01	5.624436815e-02	-1.119366204e-01
Group:versicolor	-1.412839031e-02	4.932167662e-02	2.174986616e-02	3.391786860e-02
Group:virginica	-8.730640388e-02	-9.330030341e-02	2.053940648e-01	3.851273344e-02
Group:virginica	-5.817710580e-02	4.911340070e-02	1.154790858e-01	2.809348072e-02
Group:virginica	-1.033931741e-01	-4.818904060e-02	-4.626686027e-02	-3.546010397e-02
Group:virginica	-6.924431864e-02	1.668723408e-04	2.795909747e-02	1.352158092e-01
Group:virginica	-8.903710086e-02	-3.446637712e-02	8.065932781e-02	1.335765225e-02
Group:virginica	-1.282327837e-01	-6.231114975e-02	-1.329754538e-01	5.170906669e-02
Group:virginica	-2.362491214e-02	1.166526762e-01	2.160064676e-01	8.493631844e-02
Group:virginica	-1.077598225e-01	-2.745660720e-02	-1.486624562e-01	1.282952139e-01
Group:virginica	-9.724056201e-02	6.432728429e-02	-8.224081964e-02	4.464107141e-02
Group:virginica	-1.031184087e-01	-1.740455937e-01	7.339731502e-02	-5.463631693e-02
Group:virginica	-6.364080523e-02	-6.627975355e-02	5.807069720e-02	-5.796402984e-02
Group:virginica	-7.777781183e-02	3.273440230e-02	8.499066969e-03	-3.302597079e-02
Group:virginica	-8.880837157e-02	-3.973351050e-02	5.849849197e-03	-8.258277961e-02
Group:virginica	-6.442987430e-02	8.690412488e-02	1.328997726e-01	-5.072412530e-02
Group:virginica	-7.295971367e-02	1.749039536e-02	2.227173695e-01	-1.461128665e-01
Group:virginica	-7.504470836e-02	-7.145980727e-02	1.354340304e-01	-1.019452963e-01
Group:virginica	-6.965338607e-02	-2.392971440e-02	1.332417373e-03	8.845856719e-02
Group:virginica	-1.084808053e-01	-2.179454831e-01	-5.264171189e-02	1.547718035e-01
Group:virginica	-1.569179397e-01	4.726091560e-03	-1.497930230e-01	-3.290933592e-02
Group:virginica	-6.478575046e-02	1.479957391e-01	-4.787882833e-02	3.348276609e-02
Group:virginica	-9.509986854e-02	-8.531588552e-02	4.735213689e-02	-9.245852705e-02
Group:virginica	-4.970045770e-02	3.333892928e-02	1.798134097e-01	-7.481911429e-03
Group:virginica	-1.358459102e-01	-2.496301174e-02	-1.895812230e-01	6.343548006e-02
Group:virginica	-6.501355069e-02	3.835704220e-02	5.162189774e-03	-7.958872371e-02
Group:virginica	-7.886340445e-02	-9.356473700e-02	5.413678626e-02	3.834183565e-02
Group:virginica	-8.984077291e-02	-8.084444887e-02	-1.026643523e-01	1.197491602e-01
Group:virginica	-5.721708160e-02	2.236127769e-02	3.248328573e-02	-6.989210616e-02
Group:virginica	-4.914377174e-02	-1.259655629e-02	7.051618556e-02	8.365577145e-03
Group:virginica	-8.639542021e-02	8.548339940e-03	5.864544274e-02	-1.496242940e-02
Group:virginica	-8.628445478e-02	-3.796234793e-02	-1.621492321e-01	1.108069545e-01
Group:virginica	-1.144216584e-01	-1.376246975e-02	-1.578684494e-01	2.720365917e-03
Group:virginica	-1.018670809e-01	-2.179446845e-01	-1.289570011e-01	1.158451539e-01
Group:virginica	-9.004523654e-02	5.980681983e-03	7.813384537e-02	-5.315825849e-02
Group:virginica	-5.378726095e-02	2.709794659e-02	-4.259121422e-02	1.035598293e-01
Group:virginica	-5.957411693e-02	7.219219897e-02	-4.341814075e-02	2.753166374e-01
Group:virginica	-1.302935127e-01	-6.970335491e-02	-1.142700738e-01	-1.729712136e-01
Group:virginica	-7.381084782e-02	-1.091626531e-01	1.938708661e-01	-1.009517450e-02
Group:virginica	-6.345173347e-02	-4.001415587e-02	2.911127997e-02	1.240493185e-01
Group:virginica	-4.481377641e-02	-9.807605250e-03	8.804101093e-02	1.289396532e-03
Group:virginica	-8.648226016e-02	-6.112982316e-02	-2.794238882e-03	-1.105220684e-01
Group:virginica	-9.515098444e-02	-6.360960281e-02	9.255168632e-02	-1.356853817e-01
Group:virginica	-8.899744332e-02	-6.599910818e-02	3.480926643e-02	-2.645961280e-01
Group:virginica	-5.817710580e-02	4.911340070e-02	1.154790858e-01	2.809348072e-02
Group:virginica	-9.555432269e-02	-8.279296538e-02	6.625026220e-02	-2.185230627e-02
Group:virginica	-9.346266975e-02	-1.038353688e-01	1.320903968e-01	-1.144414807e-01
Group:virginica	-8.858837589e-02	-4.190252144e-02	6.143594652e-02	-2.178388860e-01
Group:virginica	-7.719113102e-02	7.327013837e-02	5.515817876e-03	-1.254360153e-01
Group:virginica	-7.216856924e-02	-2.879899942e-02	3.893592268e-02	-6.561549237e-02
Group:virginica	-6.423621966e-02	-1.037173672e-01	1.914495222e-01	-4.869659829e-03
Group:virginica	-4.686304705e-02	-7.373362069e-03	1.073969029e-01	9.778975111e-02
