	Group:setosa	Group:versicolor	Group:virginica
Group:versicolor	1.783235957e-01	6.675310880e-01	1.542686731e-01
Group:versicolor	-3.515871254e-02	7.240120066e-01	3.125406186e-01
Group:versicolor	1.556851562e-01	6.668768904e-01	1.770973469e-01
Group:versicolor	1.032919344e-01	2.025294133e-01	6.959607320e-01
Group:versicolor	2.276990801e-01	4.468004667e-01	3.261459747e-01
Group:versicolor	-4.549561407e-02	6.769233492e-01	3.706297984e-01
Group:versicolor	7.625865994e-02	6.511065980e-01	2.740296150e-01
Group:versicolor	2.044735025e-01	4.627867480e-01	3.341531821e-01
Group:versicolor	2.138013465e-01	3.870643950e-01	4.010237650e-01
Group:versicolor	8.864202388e-02	5.607868311e-01	3.531538559e-01
Group:versicolor	6.847746714e-02	3.696924879e-01	5.647830334e-01
Group:versicolor	1.216228659e-01	4.160464755e-01	4.636043146e-01
Group:versicolor	2.821442652e-01	5.812563091e-01	1.358643225e-01
Group:versicolor	1.472351790e-01	6.912496091e-01	1.609050596e-01
Group:versicolor	1.754277934e-01	7.185197444e-01	1.052493986e-01
Group:versicolor	2.117548841e-01	5.244728193e-01	2.638103444e-01
Group:versicolor	-6.741590443e-02	5.885282748e-01	4.809023844e-01
Group:versicolor	1.062125089e-01	3.831942542e-01	5.110988577e-01
Group:versicolor	2.373231538e-01	1.438857477e-01	6.202416992e-01
Group:versicolor	1.716045800e-01	3.575510405e-01	4.733141260e-01
Group:versicolor	2.967649359e-02	7.541795586e-01	2.174215839e-01
Group:versicolor	2.207387003e-01	3.895755268e-01	3.898328051e-01
Group:versicolor	1.151377047e-01	5.921571198e-01	2.925012088e-01
Group:versicolor	5.534742709e-02	6.855225340e-01	2.593424384e-01
Group:versicolor	1.358113282e-01	4.410733917e-01	4.245833535e-01
Group:versicolor	1.650130002e-01	5.911545374e-01	2.439679298e-01
Group:versicolor	2.078747964e-01	6.843039627e-01	1.058696839e-01
Group:versicolor	1.254213072e-01	5.453616820e-01	3.294207360e-01
Group:versicolor	2.106394081e-01	4.591546616e-01	3.305270168e-01
Group:versicolor	1.806131683e-01	4.543072453e-01	3.654554379e-01
Group:versicolor	1.912407987e-01	4.666867471e-01	3.432230873e-01
Group:versicolor	3.246905604e-01	4.774613927e-01	1.957903961e-01
Group:versicolor	1.787795430e-01	4.767299644e-01	3.447281980e-01
Group:virginica	-1.555738510e-01	6.993374662e-02	1.089907439e+00
Group:virginica	-9.786406368e-02	4.442293694e-01	6.556120347e-01
Group:virginica	-1.300982296e-01	3.634594459e-01	7.714779301e-01
Group:virginica	-1.227389563e-01	5.054220668e-01	6.205057410e-01
Group:virginica	-1.530806970e-01	3.036303088e-01	8.534584816e-01
Group:virginica	-2.541953752e-01	5.086159446e-01	7.519000555e-01
Group:virginica	-5.978499409e-02	5.169060752e-01	5.427759813e-01
Group:virginica	-2.137543422e-01	6.408285679e-01	5.782531032e-01
Group:virginica	-2.383328257e-01	7.200899420e-01	5.221114468e-01
Group:virginica	-4.561754914e-02	-5.914340556e-02	1.110389760e+00
Group:virginica	6.415068778e-02	1.584186448e-01	7.805047508e-01
Group:virginica	-1.030742107e-01	4.767883712e-01	6.292871442e-01
Group:virginica	-6.013076808e-02	2.807914465e-01	7.833131374e-01
Group:virginica	-1.363402806e-01	4.637546718e-01	6.743481685e-01
Group:virginica	-1.022687347e-01	1.526789767e-01	9.519631036e-01
Group:virginica	-4.589378189e-03	5.642873886e-02	9.515642738e-01
Group:virginica	-6.276436849e-02	4.348403497e-01	6.312782503e-01
Group:virginica	-8.146960082e-02	1.229780610e-01	9.652993819e-01
Group:virginica	-4.235694000e-01	6.524640483e-01	7.779795286e-01
Group:virginica	-1.606620630e-01	8.385595032e-01	3.238225872e-01
Group:virginica	-6.132413583e-02	1.351967391e-01	9.306591612e-01
Group:virginica	-4.763923941e-02	3.099185161e-01	7.392951902e-01
Group:virginica	-3.128701767e-01	6.672995166e-01	6.520246127e-01
Group:virginica	-1.413556024e-02	4.396200076e-01	5.768391979e-01
Group:virginica	-3.879211482e-02	1.933437893e-01	8.495873971e-01
Group:virginica	-8.014504236e-02	4.427334131e-01	6.423152996e-01
Group:virginica	2.598997177e-02	3.748882890e-01	6.012165651e-01
Group:virginica	4.549499974e-02	3.098633509e-01	6.467635849e-01
Group:virginica	-1.576258144e-01	3.998253814e-01	7.613257061e-01
Group:virginica	-7.233532268e-02	5.863781210e-01	4.904343231e-01
Group:virginica	-1.922559714e-01	5.897721531e-01	6.077617463e-01
Group:virginica	1.060246128e-02	1.514888331e-01	8.444757419e-01
Group:virginica	-1.633642995e-01	3.504257466e-01	8.165389544e-01
Group:virginica	-1.754060889e-02	5.875256925e-01	4.323691054e-01
Group:virginica	-1.858809835e-01	8.405772610e-01	3.478681712e-01
Group:virginica	-1.467853469e-01	2.972191780e-01	8.555795363e-01
Group:virginica	-3.573109400e-02	-1.373683513e-02	1.053209367e+00
Group:virginica	-4.509296581e-02	3.922381306e-01	6.560980302e-01
Group:virginica	6.133277713e-02	2.896838509e-01	6.508561248e-01
Group:virginica	-6.772532206e-03	2.121597289e-01	7.986205993e-01
Group:virginica	-8.212895011e-02	1.121198225e-01	9.742150749e-01
Group:virginica	4.911288551e-02	4.697196074e-02	9.077198580e-01
Group:virginica	-9.786406368e-02	4.442293694e-01	6.556120347e-01
Group:virginica	-1.128487464e-01	1.814057377e-01	9.360789392e-01
Group:virginica	-6.174605534e-02	-4.254750043e-03	1.070440390e+00
Group:virginica	-1.086170229e-02	1.175536779e-01	8.969473487e-01
Group:virginica	-9.090368392e-02	5.014543094e-01	5.919252044e-01
Group:virginica	-6.878950769e-03	2.696525815e-01	7.403775090e-01
Group:virginica	8.299297845e-03	-6.646199743e-03	1.001646246e+00
Group:virginica	-1.264596278e-02	3.580223489e-01	6.567183155e-01
