	Group:setosa	Group:versicolor	Group:virginica
Group:versicolor	1.877630891e-01	2.258169609e-01	5.864199501e-01
Group:versicolor	2.257589966e-01	6.427330488e-01	1.315079546e-01
Group:versicolor	1.501333092e-01	5.242604505e-01	3.256062402e-01
Group:versicolor	1.606415080e-01	4.376735990e-01	4.016848931e-01
Group:versicolor	9.028596342e-02	8.631081656e-01	4.660587095e-02
Group:versicolor	2.065727657e-01	3.066511214e-01	4.867761129e-01
Group:versicolor	9.255323405e-02	8.641794029e-01	4.326736304e-02
Group:versicolor	8.890698991e-02	5.069723607e-01	4.041206494e-01
Group:versicolor	3.087693180e-01	3.237113724e-01	3.675193096e-01
Group:versicolor	2.444940536e-01	3.395415344e-01	4.159644120e-01
Group:versicolor	1.193654840e-01	3.789100465e-01	5.017244696e-01
Group:versicolor	1.783102497e-01	6.674694103e-01	1.542203399e-01
Group:versicolor	-3.530420670e-02	7.233150468e-01	3.119891599e-01
Group:versicolor	1.557196697e-01	6.670471960e-01	1.772331343e-01
Group:versicolor	1.031075057e-01	2.016383718e-01	6.952541225e-01
Group:versicolor	2.276318898e-01	4.464777036e-01	3.258904066e-01
Group:versicolor	-4.570953610e-02	6.758945781e-01	3.698149580e-01
Group:versicolor	7.611369741e-02	6.504091594e-01	2.734771432e-01
Group:versicolor	2.043268584e-01	4.620800268e-01	3.335931148e-01
Group:versicolor	2.136055359e-01	3.861196349e-01	4.002748292e-01
Group:versicolor	8.837409690e-02	5.594954672e-01	3.521304359e-01
Group:versicolor	6.817147994e-02	3.682159855e-01	5.636125345e-01
Group:versicolor	1.214906988e-01	4.154096456e-01	4.630996556e-01
Group:versicolor	2.822198164e-01	5.816238624e-01	1.361563213e-01
Group:versicolor	1.472974993e-01	6.915546884e-01	1.611478123e-01
Group:versicolor	1.755100861e-01	7.189212795e-01	1.055686344e-01
Group:versicolor	2.117504658e-01	5.244537958e-01	2.637957384e-01
Group:versicolor	-6.762516735e-02	5.875208954e-01	4.801042720e-01
Group:versicolor	1.061599909e-01	3.829414470e-01	5.108985621e-01
Group:versicolor	2.371733156e-01	1.431604453e-01	6.196662392e-01
Group:versicolor	1.713487721e-01	3.563161595e-01	4.723350685e-01
Group:versicolor	2.954313715e-02	7.535407366e-01	2.169161263e-01
Group:versicolor	2.207233523e-01	3.895020125e-01	3.897746352e-01
Group:versicolor	1.151580970e-01	5.922591059e-01	2.925827970e-01
Group:versicolor	5.532471806e-02	6.854163372e-01	2.592589447e-01
Group:versicolor	1.356591085e-01	4.403393524e-01	4.240015391e-01
Group:versicolor	1.649983472e-01	5.910868041e-01	2.439148487e-01
Group:versicolor	2.080759719e-01	6.852797488e-01	1.066442794e-01
Group:versicolor	1.253996912e-01	5.452598213e-01	3.293404874e-01
Group:versicolor	2.106059908e-01	4.589941196e-01	3.303998897e-01
Group:versicolor	1.805739802e-01	4.541193206e-01	3.653066992e-01
Group:versicolor	1.911213654e-01	4.661114274e-01	3.427672073e-01
Group:versicolor	3.249030636e-01	4.784902246e-01	1.966067118e-01
Group:versicolor	1.787545563e-01	4.766111128e-01	3.446343309e-01
Group:virginica	-1.560155813e-01	6.780007306e-02	1.088215508e+00
Group:virginica	-9.806937847e-02	4.432406983e-01	6.548286802e-01
Group:virginica	-1.305996180e-01	3.610398604e-01	7.695597576e-01
Group:virginica	-1.230696011e-01	5.038276361e-01	6.192419649e-01
Group:virginica	-1.534959890e-01	3.016262547e-01	8.518697344e-01
Group:virginica	-2.548503172e-01	5.054556156e-01	7.493947015e-01
Group:virginica	-5.977507647e-02	5.169575511e-01	5.428175254e-01
Group:virginica	-2.143065677e-01	6.381648900e-01	5.761416776e-01
Group:virginica	-2.387343947e-01	7.181556522e-01	5.205787425e-01
Group:virginica	-4.619989639e-02	-6.195782195e-02	1.108157718e+00
Group:virginica	6.383246387e-02	1.568815961e-01	7.792859401e-01
Group:virginica	-1.033855942e-01	4.752877129e-01	6.280978813e-01
Group:virginica	-6.054246796e-02	2.788045289e-01	7.817379391e-01
Group:virginica	-1.365235594e-01	4.628733918e-01	6.736501676e-01
Group:virginica	-1.025148041e-01	1.514923021e-01	9.510225020e-01
Group:virginica	-4.941695524e-03	5.472691488e-02	9.502147806e-01
Group:virginica	-6.311198941e-02	4.331632273e-01	6.299487621e-01
Group:virginica	-8.217398763e-02	1.195741223e-01	9.625998653e-01
Group:virginica	-4.242821764e-01	6.490269421e-01	7.752552343e-01
Group:virginica	-1.608414367e-01	8.376994877e-01	3.231419490e-01
Group:virginica	-6.179335252e-02	1.329308459e-01	9.288625066e-01
Group:virginica	-4.780264486e-02	3.091312832e-01	7.386713616e-01
Group:virginica	-3.135392211e-01	6.640725231e-01	6.494666980e-01
Group:virginica	-1.437671175e-02	4.384581800e-01	5.759185317e-01
Group:virginica	-3.922059560e-02	1.912742446e-01	8.479463510e-01
Group:virginica	-8.065295833e-02	4.402815653e-01	6.403713930e-01
Group:virginica	2.577266035e-02	3.738408720e-01	6.003864677e-01
Group:virginica	4.527510888e-02	3.088023798e-01	6.459225113e-01
Group:virginica	-1.579913439e-01	3.980627385e-01	7.599286054e-01
Group:virginica	-7.279932726e-02	5.841395481e-01	4.886597792e-01
Group:virginica	-1.928031369e-01	5.871331746e-01	6.056699623e-01
Group:virginica	9.923026302e-03	1.482052960e-01	8.418716777e-01
Group:virginica	-1.637375832e-01	3.486255393e-01	8.151120440e-01
Group:virginica	-1.778491722e-02	5.863485936e-01	4.314363237e-01
Group:virginica	-1.861474503e-01	8.392950342e-01	3.468524161e-01
Group:virginica	-1.474083124e-01	2.942124765e-01	8.531958359e-01
Group:virginica	-3.611818114e-02	-1.560756029e-02	1.051725741e+00
Group:virginica	-4.542896471e-02	3.906165273e-01	6.548124374e-01
Group:virginica	6.113870976e-02	2.887474720e-01	6.501138182e-01
Group:virginica	-7.187602833e-03	2.101558203e-01	7.970317826e-01
Group:virginica	-8.256450874e-02	1.100168394e-01	9.725476694e-01
Group:virginica	4.871896062e-02	4.506959763e-02	9.062114418e-01
Group:virginica	-9.806937847e-02	4.432406983e-01	6.548286802e-01
Group:virginica	-1.133287938e-01	1.790877623e-01	9.342410315e-01
Group:virginica	-6.220555306e-02	-6.474552237e-03	1.068680105e+00
Group:virginica	-1.123865103e-02	1.157340065e-01	8.955046445e-01
Group:virginica	-9.116084095e-02	5.002163894e-01	5.909444516e-01
Group:virginica	-7.205425964e-03	2.680770046e-01	7.391284213e-01
Group:virginica	7.958006496e-03	-8.295876981e-03	1.000337870e+00
Group:virginica	-1.286307893e-02	3.569749965e-01	6.558880824e-01
