	Group:setosa	Group:versicolor	Group:virginica
Group:setosa	1.114963731e+00	-7.115176871e-02	-3.969349733e-02
Group:setosa	1.175739514e+00	-1.934550338e-01	2.146207671e-02
Group:setosa	8.466044359e-01	3.313434894e-01	-1.733067568e-01
Group:setosa	9.449130612e-01	2.186543566e-01	-1.587246637e-01
Group:setosa	1.028231565e+00	9.654132270e-02	-1.207660047e-01
Group:setosa	9.962559341e-01	1.359436270e-01	-1.274672976e-01
Group:setosa	8.343320735e-01	3.422996429e-01	-1.710776202e-01
Group:setosa	9.326340816e-01	1.934629418e-01	-1.217797441e-01
Group:setosa	9.895318656e-01	5.747356405e-02	-4.241667663e-02
Group:setosa	6.651807062e-01	6.027515515e-01	-2.624421467e-01
Group:setosa	8.828996492e-01	2.531544792e-01	-1.305407586e-01
Group:setosa	9.048341884e-01	-2.491557669e-02	1.240914077e-01
Group:setosa	9.283469839e-01	4.269953834e-03	7.099750044e-02
Group:setosa	8.324560788e-01	3.065109921e-01	-1.341314849e-01
Group:setosa	1.007290667e+00	3.718433099e-02	-4.035695505e-02
Group:setosa	8.735993659e-01	2.710033939e-01	-1.394699724e-01
Group:setosa	1.018663727e+00	5.558239424e-02	-7.025273152e-02
Group:setosa	9.242397181e-01	2.181052080e-01	-1.377581010e-01
Group:versicolor	2.208981689e-01	3.537392572e-01	4.225533934e-01
Group:versicolor	2.205664596e-01	2.727294662e-01	5.048437294e-01
Group:versicolor	1.393141154e-01	3.949419098e-01	4.627758632e-01
Group:versicolor	6.661091378e-02	6.815062558e-01	2.521275237e-01
Group:versicolor	1.075418839e-01	4.709501094e-01	4.194799324e-01
Group:versicolor	8.881530782e-02	5.645391277e-01	3.459367277e-01
Group:versicolor	1.875499818e-01	2.247869551e-01	5.856030608e-01
Group:versicolor	2.259717940e-01	6.437643539e-01	1.323264455e-01
Group:versicolor	1.499228001e-01	5.232456537e-01	3.248019657e-01
Group:versicolor	1.607032137e-01	4.379736510e-01	4.019232292e-01
Group:versicolor	9.046865290e-02	8.639967138e-01	4.731171441e-02
Group:versicolor	2.064888748e-01	3.062464849e-01	4.864553692e-01
Group:versicolor	9.253481224e-02	8.640961235e-01	4.320250719e-02
Group:versicolor	8.874453552e-02	5.061896117e-01	4.035003598e-01
Group:versicolor	3.088170437e-01	3.239424969e-01	3.677027047e-01
Group:versicolor	2.442826541e-01	3.385208920e-01	4.151551843e-01
Group:versicolor	1.192857552e-01	3.785258378e-01	5.014199867e-01
Group:versicolor	1.782969037e-01	6.674077327e-01	1.541720068e-01
Group:versicolor	-3.544970086e-02	7.226180869e-01	3.114377013e-01
Group:versicolor	1.557541832e-01	6.672175015e-01	1.773689218e-01
Group:versicolor	1.029230770e-01	2.007473304e-01	6.945475130e-01
Group:versicolor	2.275646995e-01	4.461549405e-01	3.256348384e-01
Group:versicolor	-4.592345812e-02	6.748658070e-01	3.690001176e-01
Group:versicolor	7.596873489e-02	6.497117207e-01	2.729246714e-01
Group:versicolor	2.041802142e-01	4.613733056e-01	3.330330475e-01
Group:versicolor	2.134097252e-01	3.851748749e-01	3.995258934e-01
Group:versicolor	8.810616991e-02	5.582041033e-01	3.511070159e-01
Group:versicolor	6.786549275e-02	3.667394832e-01	5.624420357e-01
Group:versicolor	1.213585317e-01	4.147728158e-01	4.625949965e-01
Group:versicolor	2.822953676e-01	5.819914156e-01	1.364483201e-01
Group:versicolor	1.473598197e-01	6.918597677e-01	1.613905649e-01
Group:versicolor	1.755923788e-01	7.193228146e-01	1.058878702e-01
Group:versicolor	2.117460474e-01	5.244347722e-01	2.637811325e-01
Group:versicolor	-6.783443027e-02	5.865135159e-01	4.793061595e-01
Group:versicolor	1.061074730e-01	3.826886398e-01	5.106982664e-01
Group:versicolor	2.370234773e-01	1.424351428e-01	6.190907792e-01
Group:versicolor	1.710929642e-01	3.550812784e-01	4.713560110e-01
Group:versicolor	2.940978072e-02	7.529019146e-01	2.164106686e-01
Group:versicolor	2.207080042e-01	3.894284983e-01	3.897164653e-01
Group:versicolor	1.151784894e-01	5.923610920e-01	2.926643852e-01
Group:versicolor	5.530200903e-02	6.853101404e-01	2.591754511e-01
Group:versicolor	1.355068888e-01	4.396053131e-01	4.234197246e-01
Group:versicolor	1.649836942e-01	5.910190708e-01	2.438617676e-01
Group:versicolor	2.082771473e-01	6.862555348e-01	1.074188748e-01
Group:versicolor	1.253780753e-01	5.451579606e-01	3.292602389e-01
Group:versicolor	2.105725735e-01	4.588335776e-01	3.302727626e-01
Group:versicolor	1.805347920e-01	4.539313959e-01	3.651579606e-01
Group:versicolor	1.910019321e-01	4.655361076e-01	3.423113272e-01
Group:versicolor	3.251155668e-01	4.795190565e-01	1.974230275e-01
Group:versicolor	1.787295697e-01	4.764922611e-01	3.445404638e-01
Group:virginica	-1.564573115e-01	6.566639950e-02	1.086523578e+00
Group:virginica	-9.827469326e-02	4.422520272e-01	6.540453256e-01
Group:virginica	-1.311010064e-01	3.586202749e-01	7.676415851e-01
Group:virginica	-1.234002458e-01	5.022332054e-01	6.179781889e-01
Group:virginica	-1.539112811e-01	2.996222006e-01	8.502809871e-01
Group:virginica	-2.555052591e-01	5.022952866e-01	7.468893475e-01
Group:virginica	-5.976515884e-02	5.170090270e-01	5.428590694e-01
Group:virginica	-2.148587931e-01	6.355012122e-01	5.740302520e-01
Group:virginica	-2.391359637e-01	7.162213623e-01	5.190460383e-01
Group:virginica	-4.678224364e-02	-6.477223834e-02	1.105925677e+00
Group:virginica	6.351423996e-02	1.553445473e-01	7.780671293e-01
Group:virginica	-1.036969776e-01	4.737870546e-01	6.269086184e-01
Group:virginica	-6.095416784e-02	2.768176112e-01	7.801627408e-01
Group:virginica	-1.367068382e-01	4.619921117e-01	6.729521668e-01
Group:virginica	-1.027608734e-01	1.503056274e-01	9.500819004e-01
Group:virginica	-5.294012858e-03	5.302509090e-02	9.488652875e-01
Group:virginica	-6.345961034e-02	4.314861049e-01	6.286192740e-01
Group:virginica	-8.287837445e-02	1.161701837e-01	9.599003487e-01
Group:virginica	-4.249949529e-01	6.455898359e-01	7.725309400e-01
Group:virginica	-1.610208104e-01	8.368394722e-01	3.224613108e-01
Group:virginica	-6.226256921e-02	1.306649526e-01	9.270658521e-01
Group:virginica	-4.796605031e-02	3.083440504e-01	7.380475330e-01
Group:virginica	-3.142082655e-01	6.608455296e-01	6.469087833e-01
Group:virginica	-1.461786326e-02	4.372963525e-01	5.749978656e-01
Group:virginica	-3.964907637e-02	1.892046999e-01	8.463053050e-01
Group:virginica	-8.116087430e-02	4.378297175e-01	6.384274864e-01
Group:virginica	2.555534893e-02	3.727934549e-01	5.995563703e-01
Group:virginica	4.505521803e-02	3.077414088e-01	6.450814377e-01
Group:virginica	-1.583568733e-01	3.963000955e-01	7.585315047e-01
Group:virginica	-7.326333183e-02	5.819009751e-01	4.868852353e-01
Group:virginica	-1.933503025e-01	5.844941961e-01	6.035781783e-01
Group:virginica	9.243591319e-03	1.449217589e-01	8.392676135e-01
Group:virginica	-1.641108669e-01	3.468253320e-01	8.136851335e-01
Group:virginica	-1.802922555e-02	5.851714947e-01	4.305035419e-01
Group:virginica	-1.864139171e-01	8.380128073e-01	3.458366611e-01
Group:virginica	-1.480312779e-01	2.912057751e-01	8.508121355e-01
Group:virginica	-3.650526828e-02	-1.747828545e-02	1.050242116e+00
Group:virginica	-4.576496361e-02	3.889949240e-01	6.535268446e-01
Group:virginica	6.094464239e-02	2.878110932e-01	6.493715116e-01
Group:virginica	-7.602673460e-03	2.081519117e-01	7.954429658e-01
Group:virginica	-8.300006737e-02	1.079138562e-01	9.708802638e-01
Group:virginica	4.832503572e-02	4.316723453e-02	9.047030255e-01
Group:virginica	-9.827469326e-02	4.422520272e-01	6.540453256e-01
Group:virginica	-1.138088412e-01	1.767697869e-01	9.324031239e-01
Group:virginica	-6.266505077e-02	-8.694354430e-03	1.066919820e+00
Group:virginica	-1.161559976e-02	1.139143350e-01	8.940619404e-01
Group:virginica	-9.141799798e-02	4.989784693e-01	5.899636988e-01
Group:virginica	-7.531901159e-03	2.665014277e-01	7.378793337e-01
Group:virginica	7.616715146e-03	-9.945554219e-03	9.990294948e-01
Group:virginica	-1.308019508e-02	3.559276441e-01	6.550578493e-01
