	Group:B	Group:M
Group:B	9.799033588e-01	2.324527938e-01
Group:B	6.925522584e-01	4.279336017e-01
Group:B	9.984743449e-01	1.983750634e-01
Group:M	1.930787569e-02	9.954197675e-01
Group:B	1.666277417e-01	1.100298038e-02
Group:M	2.651045272e-03	9.569372991e-01
Group:M	6.972137451e-01	4.252271175e-01
Group:B	9.953743127e-01	1.668752735e-01
Group:M	2.950952104e-02	9.817729802e-01
Group:B	9.987387215e-01	1.972701149e-01
Group:M	1.053810289e-02	9.994668513e-01
Group:M	5.986692207e-06	4.872947705e-01
Group:B	9.885628744e-01	2.204334334e-01
Group:B	9.474027317e-01	2.650594949e-01
Group:B	2.636521582e-01	7.125076522e-01
Group:M	4.235362385e-07	3.167449654e-01
Group:M	3.962307666e-02	9.662751263e-01
Group:B	9.390276696e-01	2.720546423e-01
Group:M	4.060246636e-03	9.763530643e-01
Group:M	2.238599661e-01	7.473311349e-01
Group:M	5.616302815e-04	8.553243451e-01
Group:B	6.164024188e-01	4.724074490e-01
Group:B	6.628054057e-01	4.452274817e-01
Group:B	9.195183132e-01	2.872131162e-01
Group:M	2.228034184e-01	7.482940907e-01
Group:B	9.836813717e-01	2.275530655e-01
Group:B	9.056766031e-01	2.972695791e-01
Group:M	3.444940542e-02	9.742849519e-01
Group:M	3.400492283e-03	9.688576603e-01
Group:B	8.611537439e-01	9.477039593e-02
Group:B	6.950176400e-01	6.171618460e-02
Group:B	9.950474072e-01	1.662216528e-01
Group:M	2.303362689e-01	7.414746917e-01
Group:M	3.501306244e-01	6.445803011e-01
Group:B	1.943402770e-01	1.282136088e-02
Group:B	9.802279044e-01	2.320479351e-01
Group:B	9.664349007e-01	2.474393621e-01
Group:B	7.017184787e-01	6.274280146e-02
Group:M	7.973362658e-02	9.067593776e-01
Group:B	5.516032734e-01	5.111805337e-01
Group:B	9.992951506e-01	1.786287664e-01
Group:M	7.963166789e-07	3.527973490e-01
Group:B	6.804586382e-01	4.349580669e-01
Group:B	9.628844935e-01	1.345638321e-01
Group:B	7.760850592e-01	3.791886197e-01
Group:B	9.977023132e-01	2.011608632e-01
Group:B	7.277401925e-01	6.690718027e-02
Group:B	9.581258831e-01	1.316783884e-01
Group:B	9.729552308e-01	2.405628361e-01
Group:B	3.835388091e-01	2.692911606e-02
Group:M	1.171464545e-02	9.999411763e-01
Group:M	3.374092508e-03	9.685085727e-01
Group:M	1.733057212e-02	9.973963510e-01
Group:B	9.956501365e-01	2.069057633e-01
Group:M	1.390679903e-02	9.996859852e-01
Group:M	3.468278942e-05	6.253936225e-01
Group:B	8.911947401e-01	3.073430151e-01
Group:B	9.803623952e-01	1.476554381e-01
Group:B	9.575199176e-01	1.313254906e-01
Group:M	1.938474978e-01	7.755718202e-01
Group:M	1.173310416e-01	8.581973950e-01
Group:B	5.412766926e-01	5.174834224e-01
Group:M	6.515449321e-03	9.917530633e-01
Group:B	9.838230003e-01	2.273605886e-01
Group:M	8.057833867e-02	9.055929285e-01
Group:M	1.255627837e-01	8.483873595e-01
Group:B	5.366522952e-01	5.203190866e-01
Group:M	1.407760438e-02	9.996179458e-01
Group:M	5.555319663e-01	5.087928679e-01
Group:B	9.752893297e-01	1.433221773e-01
Group:B	9.415158671e-01	1.229433382e-01
Group:M	1.716785623e-02	9.975416677e-01
Group:B	9.714618167e-01	1.403868001e-01
Group:B	3.186325782e-01	2.169999560e-02
Group:M	2.630954091e-01	7.129769168e-01
Group:B	9.739030503e-01	1.422301174e-01
Group:B	8.276498454e-01	3.481988495e-01
Group:B	6.032481134e-01	4.919282290e-02
Group:B	7.896190487e-01	7.818400063e-02
Group:M	7.646857966e-02	9.113033712e-01
Group:B	9.369136985e-01	2.737670581e-01
Group:B	5.410951645e-01	5.175945783e-01
Group:B	9.111531275e-01	1.103636260e-01
Group:B	9.476766311e-01	2.648244324e-01
Group:B	9.953454224e-01	2.076383432e-01
Group:B	9.933305188e-01	1.631203516e-01
Group:B	9.411495013e-01	1.227692569e-01
Group:B	4.375417126e-01	5.835218015e-01
Group:B	9.837440273e-01	2.274680025e-01
Group:M	9.299767476e-02	8.888649907e-01
Group:B	8.437348316e-01	3.382283415e-01
Group:B	9.368307973e-01	1.207665623e-01
Group:B	8.089549338e-01	8.220950776e-02
Group:B	8.721321252e-01	3.200730688e-01
Group:M	1.448300824e-02	9.994334585e-01
Group:M	1.588372046e-04	7.531386291e-01
Group:B	9.193583449e-01	2.873321896e-01
Group:M	2.089476656e-05	5.839876106e-01
Group:B	9.768029302e-01	2.361932117e-01
Group:B	5.724424241e-01	4.551761326e-02
Group:M	1.254966053e-01	8.484651822e-01
Group:M	1.689311793e-02	9.977801817e-01
Group:B	9.548091225e-01	2.585386883e-01
Group:B	9.704759002e-01	2.432470672e-01
Group:M	2.888502330e-01	6.917423112e-01
Group:M	1.277339088e-01	8.458433542e-01
Group:B	8.661285004e-01	9.613108440e-02
Group:B	4.406653704e-01	3.195584431e-02
Group:B	2.117061876e-01	1.398689001e-02
Group:B	9.304259847e-01	1.179496959e-01
Group:M	3.073726260e-02	9.799372469e-01
Group:B	7.551681161e-01	7.163989119e-02
Group:B	7.511984734e-01	7.093089355e-02
Group:M	4.697832501e-08	2.130544322e-01
Group:M	1.110046288e-05	5.339579386e-01
Group:M	4.620372404e-02	9.560607622e-01
Group:B	6.788031745e-01	5.930304160e-02
Group:M	4.109908608e-01	6.014342359e-01
Group:B	9.971091684e-01	1.708531069e-01
Group:M	7.625642887e-02	9.116005777e-01
Group:B	9.500485576e-01	2.627702631e-01
Group:B	9.908292823e-01	2.166786665e-01
Group:B	8.339136576e-01	8.786513281e-02
Group:M	8.512706378e-02	8.993754105e-01
Group:B	9.582967498e-01	1.317784566e-01
Group:B	4.556237105e-02	3.426303879e-03
Group:M	6.226700516e-02	9.317310853e-01
Group:M	2.080696348e-01	7.619530736e-01
Group:B	9.916678892e-01	2.151868870e-01
Group:M	1.656883714e-02	9.980501372e-01
Group:M	6.561260194e-01	4.491205607e-01
Group:M	5.778439057e-03	9.885225563e-01
Group:M	1.681468341e-02	9.978466487e-01
Group:B	6.807235547e-01	4.348041244e-01
Group:M	2.198074840e-02	9.922692219e-01
Group:M	8.114472993e-07	3.539168283e-01
Group:M	3.955570593e-04	8.279820954e-01
Group:B	7.198774522e-01	4.120651248e-01
Group:M	2.271979039e-01	7.443028499e-01
Group:B	9.527436134e-01	1.286456112e-01
Group:M	1.953786262e-01	7.740839582e-01
Group:B	5.490926281e-01	5.127092863e-01
Group:B	8.463371947e-01	3.365965652e-01
Group:M	8.803640445e-04	8.885543279e-01
Group:B	9.821797335e-01	1.493636592e-01
Group:M	2.656135017e-03	9.570349942e-01
Group:M	2.236124244e-02	9.917867927e-01
Group:M	2.311946917e-03	9.497446288e-01
Group:M	2.673432439e-01	7.094084405e-01
Group:B	6.910907248e-01	4.287822564e-01
Group:B	5.638333087e-01	4.452991320e-02
Group:M	1.604631779e-03	9.285735941e-01
Group:M	3.097801688e-04	8.083534682e-01
Group:B	9.750039048e-01	1.430944585e-01
Group:B	9.609606374e-01	2.528202569e-01
Group:B	9.174709844e-01	1.127216707e-01
Group:M	2.895553514e-02	9.825938390e-01
Group:B	8.386714248e-01	3.413876053e-01
Group:B	5.899473161e-01	4.880937019e-01
Group:B	6.616222929e-01	5.684859905e-02
Group:B	7.638622920e-01	3.863891180e-01
Group:B	6.257831778e-01	4.668833085e-01
Group:M	6.103859282e-02	9.335485536e-01
Group:M	4.909366693e-03	9.833792308e-01
Group:B	8.317389539e-01	8.734916461e-02
Group:B	9.999984107e-01	1.868206057e-01
Group:M	4.607906355e-03	9.811544952e-01
Group:B	9.983275524e-01	1.989490519e-01
Group:B	8.445571785e-01	3.377133080e-01
Group:M	9.995322276e-07	3.664889927e-01
Group:M	1.784633201e-02	9.969168693e-01
Group:B	7.894176907e-01	3.712837012e-01
Group:M	1.354829086e-03	9.178888456e-01
Group:B	9.173681424e-01	2.888075898e-01
Group:B	7.898373753e-01	7.822791692e-02
Group:B	8.965146542e-01	3.036886161e-01
Group:B	9.994838293e-01	1.933191823e-01
Group:M	7.442147815e-03	9.947494189e-01
Group:B	6.385959531e-01	4.593649968e-01
Group:B	9.983939588e-01	1.986924977e-01
Group:B	7.725611484e-01	3.812686852e-01
Group:B	8.370896109e-01	3.423705007e-01
Group:B	9.981983129e-01	1.994348121e-01
Group:M	1.104139107e-03	9.043188088e-01
Group:B	9.868300902e-01	1.542475540e-01
Group:M	7.565409369e-05	6.906363364e-01
Group:M	3.084112588e-02	9.797810098e-01
Group:M	9.785290748e-04	8.960038529e-01
Group:M	4.049830956e-01	6.055576437e-01
Group:M	1.512892152e-03	9.249147870e-01
Group:M	2.209361079e-02	9.921268809e-01
Group:M	3.911225220e-03	9.748452201e-01
Group:M	4.221636106e-04	8.331379340e-01
Group:M	5.584985603e-04	8.548969480e-01
Group:M	3.512063797e-01	6.437888635e-01
Group:M	8.887790370e-02	8.943280399e-01
Group:M	6.918893509e-01	4.283185197e-01
Group:M	8.528160084e-03	9.971522474e-01
Group:M	3.943678069e-05	6.360377886e-01
Group:B	9.767882149e-01	1.445439528e-01
Group:B	9.999545471e-01	1.844371019e-01
Group:B	9.784049279e-01	2.342880458e-01
Group:B	9.604243407e-01	1.330458662e-01
Group:B	8.196762804e-01	8.457006186e-02
Group:B	9.609332854e-01	1.333551235e-01
Group:M	1.811625923e-03	9.359075560e-01
Group:B	9.993992496e-01	1.938686982e-01
Group:M	8.639274726e-02	8.976642795e-01
Group:B	7.064810610e-01	4.198466508e-01
Group:B	7.174185171e-01	6.522013349e-02
Group:M	7.125626476e-02	9.186750854e-01
Group:B	9.785667701e-01	1.460547281e-01
Group:B	9.525582975e-01	2.605584720e-01
Group:M	9.328548157e-05	7.083142142e-01
Group:B	9.569456117e-01	2.565872841e-01
Group:M	8.246088418e-04	8.838683712e-01
Group:M	1.871996868e-01	7.820952786e-01
Group:B	9.611213546e-01	1.334700181e-01
Group:B	7.111741600e-01	6.422238752e-02
Group:B	9.927481146e-01	2.131624731e-01
Group:B	7.372044384e-01	6.849761575e-02
Group:B	8.947053729e-01	3.049370888e-01
Group:B	9.971180670e-01	2.029809115e-01
Group:B	9.630121619e-01	1.346442384e-01
Group:B	3.548829325e-01	6.410925298e-01
Group:B	6.086344713e-01	4.769959741e-01
Group:B	8.587434008e-01	3.287345517e-01
Group:B	8.545951829e-01	9.302699414e-02
Group:B	9.514388522e-01	1.279426499e-01
Group:B	2.820798315e-01	1.894928378e-02
Group:M	9.628587444e-01	1.345476353e-01
Group:B	9.938848681e-01	2.108791325e-01
Group:B	8.046400962e-01	8.128641083e-02
Group:M	1.096037728e-03	9.038180103e-01
Group:B	9.875216809e-01	1.550531068e-01
Group:M	5.556339754e-03	9.873637249e-01
Group:B	9.023734816e-01	1.072622715e-01
Group:B	7.501682535e-01	7.074828321e-02
Group:B	9.896905432e-01	1.577552366e-01
Group:B	7.877619439e-01	7.781178841e-02
Group:B	3.342856144e-01	2.291872007e-02
Group:B	6.032219725e-01	4.918960589e-02
Group:B	7.213523615e-01	6.585744426e-02
Group:B	9.987890222e-01	1.970476906e-01
Group:B	9.970842515e-01	2.030806700e-01
Group:B	9.809442441e-01	1.481920989e-01
Group:B	6.261083053e-01	5.207484299e-02
Group:B	8.317144126e-01	8.734336898e-02
Group:B	6.000911116e-01	4.880556115e-02
Group:B	5.130810898e-01	3.902003077e-02
Group:M	2.735458102e-02	9.849345440e-01
Group:B	8.567152599e-01	9.358449049e-02
Group:B	7.605520662e-01	7.261540765e-02
Group:B	9.782828292e-01	1.458087918e-01
Group:M	4.103989656e-02	9.640727393e-01
Group:B	9.710335443e-01	2.426513667e-01
Group:M	3.004861707e-07	2.983564873e-01
Group:B	9.432154011e-01	1.237599317e-01
Group:B	9.958990603e-01	1.679786247e-01
Group:B	9.953711705e-01	1.668688747e-01
Group:B	5.812803042e-01	4.654895125e-02
Group:M	3.995177738e-02	9.657642399e-01
Group:M	2.878639172e-01	6.925384535e-01
Group:M	7.504210549e-02	9.133063638e-01
Group:B	8.324618992e-01	3.452355079e-01
Group:B	9.826650761e-01	2.289140821e-01
Group:B	6.778768888e-01	5.916809935e-02
Group:B	9.979099811e-01	1.731284944e-01
Group:M	1.014411587e-02	9.991822833e-01
Group:B	6.010718512e-01	4.892559636e-02
Group:M	4.445323520e-04	8.372032864e-01
Group:B	9.744711640e-01	1.426734535e-01
Group:M	7.627077194e-06	5.053180975e-01
Group:B	6.285677617e-01	4.652468573e-01
Group:B	8.175621621e-01	8.409676416e-02
Group:B	9.827015318e-01	2.288658522e-01
Group:M	1.873873007e-04	7.669583971e-01
Group:B	9.859851518e-01	2.243272583e-01
Group:B	9.024791435e-01	1.072984813e-01
Group:B	9.960640012e-01	2.058716469e-01
Group:B	5.718570709e-01	4.989278511e-01
Group:B	9.760402043e-01	2.370813702e-01
Group:B	7.411061888e-01	6.916599281e-02
Group:B	8.993111421e-01	1.062238929e-01
Group:M	1.625818419e-02	9.982963552e-01
Group:M	3.862253677e-08	2.053643617e-01
Group:M	1.679492123e-02	9.978632791e-01
Group:B	5.454309678e-01	4.247227883e-02
Group:B	9.937610290e-01	2.111367139e-01
Group:B	6.716623795e-01	4.400720542e-01
Group:B	9.984893645e-01	1.750806920e-01
Group:B	6.074896382e-01	4.971712103e-02
Group:B	8.050409748e-01	8.137154795e-02
Group:B	7.431244179e-01	6.951472022e-02
Group:B	9.994509346e-01	1.935377576e-01
Group:B	9.952657557e-01	2.078261989e-01
Group:B	4.876065141e-01	5.509602835e-01
Group:B	9.999999505e-01	1.863772420e-01
Group:M	9.881428113e-03	9.989520033e-01
Group:M	1.503843909e-04	7.485515333e-01
Group:B	8.498349495e-01	3.343942569e-01
Group:M	1.291202376e-03	9.147602297e-01
Group:M	2.711011344e-04	7.974872803e-01
Group:M	6.951495694e-04	8.713832618e-01
Group:B	9.948093223e-01	2.088756077e-01
Group:M	2.597001704e-02	9.869131905e-01
Group:M	1.289559386e-03	9.146768856e-01
Group:B	9.838871259e-01	2.272732057e-01
Group:B	6.894899428e-01	4.297118293e-01
Group:B	9.231070419e-01	1.149261272e-01
Group:B	9.157065701e-01	2.900310516e-01
Group:B	7.991536436e-01	3.654706751e-01
Group:M	1.446276374e-02	9.994434114e-01
Group:B	8.057456974e-01	3.615120836e-01
Group:B	8.428949852e-01	9.004799639e-02
Group:B	9.792972514e-01	1.466962180e-01
Group:B	9.379036139e-01	2.729676274e-01
Group:B	9.999181859e-01	1.891598400e-01
Group:M	1.705326235e-01	7.989304505e-01
Group:B	9.488105085e-01	1.265611056e-01
Group:B	8.704769526e-01	9.734920251e-02
Group:B	6.888774530e-01	6.079079733e-02
Group:M	1.774011706e-03	9.346597595e-01
Group:B	6.994748479e-01	6.239707988e-02
Group:B	5.652733408e-01	4.469398305e-02
Group:M	5.116086040e-03	9.847606042e-01
Group:M	2.911419901e-05	6.109801668e-01
Group:B	9.640288141e-01	2.498426776e-01
Group:B	9.870663150e-01	2.227353893e-01
Group:B	5.528899952e-01	5.103979215e-01
Group:B	9.050559198e-01	1.081896565e-01
Group:B	7.681274182e-01	7.401613848e-02
Group:B	9.614035866e-01	1.336430694e-01
Group:M	2.233786486e-03	9.478703096e-01
Group:B	9.923133439e-01	1.614861510e-01
Group:B	9.646113087e-01	1.356658317e-01
Group:B	9.986413577e-01	1.756555300e-01
Group:B	9.028513804e-01	1.074262516e-01
Group:B	9.998394992e-01	1.902558249e-01
Group:B	7.353855690e-01	4.030421467e-01
Group:B	9.595909039e-01	1.325445834e-01
Group:M	1.422075952e-02	9.995564206e-01
Group:B	7.628140010e-01	3.870049152e-01
Group:B	8.101225699e-01	3.588725040e-01
Group:B	9.949939470e-01	1.661169966e-01
Group:B	4.322820235e-01	3.119046656e-02
Group:B	3.916780353e-01	6.147885874e-01
Group:M	2.651200795e-01	7.112726524e-01
Group:B	9.156584954e-01	2.900663405e-01
Group:B	9.472206004e-01	2.652155627e-01
Group:M	6.820742332e-03	9.928554024e-01
Group:B	9.983316114e-01	1.989335114e-01
Group:B	9.931933960e-01	1.628924698e-01
Group:B	9.969948293e-01	2.033418914e-01
Group:B	8.917383146e-01	3.069718798e-01
Group:B	9.925750703e-01	2.134954434e-01
Group:B	7.546907057e-01	3.917686015e-01
Group:B	9.978032195e-01	1.728013115e-01
Group:B	6.047748957e-01	4.938101786e-02
Group:B	9.751576021e-01	1.432168922e-01
Group:B	9.435443910e-01	2.683265755e-01
Group:B	6.155601107e-01	5.072765749e-02
Group:B	8.888641045e-01	1.028319207e-01
Group:M	2.736456294e-02	9.849201123e-01
Group:B	9.932881601e-01	1.630496864e-01
Group:M	3.449080433e-04	8.170284339e-01
Group:M	1.026788161e-02	9.992792866e-01
Group:B	9.438593773e-01	2.680628368e-01
Group:M	8.032812881e-02	9.059380496e-01
Group:B	9.815158706e-01	2.304132750e-01
Group:B	8.799121733e-01	3.149403577e-01
Group:B	9.694723840e-01	2.443080362e-01
Group:B	9.909194714e-01	1.594287822e-01
Group:B	7.536963342e-01	3.923507963e-01
Group:M	1.145436155e-02	9.998799030e-01
Group:B	7.303792536e-01	6.734637221e-02
Group:B	7.820815702e-01	7.668793691e-02
Group:M	1.635003501e-01	8.062542227e-01
Group:B	7.683119037e-01	3.837723463e-01
Group:M	2.345959597e-03	9.505325846e-01
Group:B	7.490568883e-01	3.950647295e-01
Group:B	8.130868727e-01	3.570793596e-01
Group:M	6.537625296e-04	8.668118878e-01
Group:B	9.394232313e-01	1.219580147e-01
Group:M	4.490969104e-03	9.802173652e-01
Group:B	9.204104830e-01	2.865476750e-01
Group:B	7.853685057e-01	3.736907570e-01
Group:B	9.284585707e-01	2.804343801e-01
Group:B	7.210581751e-01	4.113788503e-01
Group:B	6.733884494e-01	4.390681257e-01
Group:B	8.771613216e-01	3.167643470e-01
Group:B	9.677529995e-01	2.460946704e-01
Group:B	9.163886625e-01	1.123095768e-01
Group:M	4.289507509e-03	9.784951853e-01
Group:M	1.619593406e-07	2.673524928e-01
Group:B	9.536501283e-01	2.595831601e-01
Group:B	9.192122298e-01	2.874408876e-01
Group:B	8.901278057e-01	3.080700405e-01
Group:B	6.504253113e-01	4.524473692e-01
Group:B	6.291846617e-01	4.648845120e-01
Group:B	9.627920701e-01	1.345057270e-01
Group:M	6.424761808e-02	9.288173910e-01
Group:B	4.100365350e-01	6.020874268e-01
Group:B	9.688840351e-01	1.385386713e-01
Group:B	9.480701045e-01	2.644859896e-01
Group:B	8.667967313e-01	3.235489467e-01
Group:B	9.320086711e-01	1.186299414e-01
Group:B	7.863297649e-01	7.752637039e-02
Group:B	9.340833012e-01	2.760300228e-01
Group:B	7.615622036e-01	3.877399272e-01
Group:B	9.751199041e-01	1.431868216e-01
Group:B	9.455881191e-01	1.249258879e-01
Group:M	7.698416046e-02	9.105820807e-01
Group:B	9.094349110e-01	1.097413470e-01
Group:B	9.650650919e-01	2.488153947e-01
Group:B	8.468722773e-01	3.362603440e-01
Group:B	9.993169019e-01	1.943685903e-01
Group:B	5.673207769e-01	5.016602335e-01
Group:B	9.107633907e-01	2.936286274e-01
Group:B	9.310567430e-01	2.784145344e-01
Group:M	9.667652872e-04	8.951594417e-01
Group:B	8.803324415e-01	3.146607707e-01
Group:M	2.122044603e-01	7.580754395e-01
Group:B	9.082758730e-01	2.954164915e-01
Group:B	8.923800509e-01	3.065330757e-01
Group:M	3.788586852e-02	9.689731263e-01
Group:B	7.819166295e-01	7.665562728e-02
Group:B	9.971214485e-01	2.029709055e-01
Group:B	6.986162989e-01	4.244128326e-01
Group:B	5.953281669e-01	4.848890298e-01
Group:B	9.527075532e-01	2.604256273e-01
Group:M	5.116733793e-02	9.484243438e-01
Group:M	1.862103790e-03	9.375287205e-01
Group:B	9.999933415e-01	1.872157401e-01
Group:M	4.657337749e-02	9.554893017e-01
Group:B	8.485189468e-01	3.352241093e-01
Group:M	4.494357389e-05	6.469187051e-01
Group:B	8.357850500e-01	8.831297570e-02
Group:B	9.494480995e-01	2.632934940e-01
Group:B	9.935247416e-01	1.634475363e-01
Group:B	9.562318056e-01	2.572431222e-01
Group:B	4.434533590e-01	5.795985109e-01
Group:M	1.031976217e-02	9.993178381e-01
Group:B	9.587008995e-01	1.320161418e-01
Group:B	9.671807089e-01	2.466810713e-01
Group:M	6.590113930e-02	9.264008194e-01
Group:B	9.188914906e-01	2.876792796e-01
Group:M	6.761442463e-01	4.374657316e-01
Group:B	9.484677996e-01	2.641429936e-01
Group:M	2.356531925e-02	9.902157665e-01
Group:M	2.067368931e-02	9.938667651e-01
Group:B	9.855355740e-01	2.249735803e-01
Group:B	9.528343503e-01	2.603126528e-01
Group:B	9.365976703e-01	2.740213859e-01
Group:M	2.782901003e-05	6.072802773e-01
Group:B	6.306769527e-01	5.266793225e-02
Group:B	6.615606445e-01	4.459526242e-01
Group:B	8.842932002e-01	1.014148405e-01
Group:B	8.939767027e-01	1.044640263e-01
Group:B	4.514307356e-01	5.743395010e-01
Group:B	9.935637861e-01	2.115422313e-01
Group:B	8.070650544e-01	3.607173938e-01
Group:B	9.946496369e-01	1.654569408e-01
Group:B	9.601596287e-01	2.535829101e-01
Group:B	9.050097010e-01	2.977426325e-01
Group:B	9.980820099e-01	1.998579571e-01
Group:M	1.559882353e-02	9.987755294e-01
Group:B	9.992038046e-01	1.781454859e-01
Group:M	5.418222005e-03	9.865931017e-01
Group:M	3.059126364e-01	6.781693921e-01
Group:B	4.828029132e-01	5.540231457e-01
Group:B	7.729970472e-01	7.493465113e-02
Group:B	8.857830021e-01	1.018725092e-01
Group:B	8.796993716e-01	1.000281698e-01
Group:B	2.949802372e-01	6.868230549e-01
Group:B	5.479877566e-01	5.133827812e-01
Group:B	8.915909755e-01	3.070725277e-01
Group:B	9.910085510e-01	1.595548300e-01
Group:B	9.130287334e-01	2.919875635e-01
Group:B	6.742875462e-01	5.864807257e-02
Group:B	9.977828142e-01	1.727397359e-01
Group:B	8.575688572e-01	9.381056721e-02
Group:B	9.996932525e-01	1.812622374e-01
Group:B	6.107850109e-01	5.012767750e-02
Group:B	8.901031153e-01	1.032227637e-01
Group:B	7.474584099e-01	3.959989179e-01
Group:B	7.457639521e-01	6.997394482e-02
Group:B	8.081616011e-01	3.600562718e-01
Group:B	7.882383506e-01	3.719853702e-01
Group:B	6.842665151e-01	6.010523657e-02
Group:B	8.329340827e-01	8.763213164e-02
Group:B	9.721666626e-01	2.414267714e-01
Group:B	9.079915554e-01	2.956199273e-01
Group:B	5.952979806e-01	4.849069863e-01
Group:B	6.782129605e-01	5.921702323e-02
Group:M	3.511989328e-04	8.184808878e-01
Group:M	8.697051595e-05	7.023973819e-01
Group:M	1.168705730e-04	7.273344017e-01
Group:M	4.910176308e-03	9.833848591e-01
Group:M	1.903516669e-01	7.789892478e-01
Group:M	5.492793168e-07	3.312383409e-01
Group:B	5.395230886e-01	4.182657572e-02
