	PC1	PC2	PC3	PC4
Group:setosa	2.395104878e+01	-3.305017738e+00	6.745091271e-01	-8.494892088e-01
Group:setosa	2.395104878e+01	-3.215673250e+00	5.927964338e-01	-7.670168965e-01
Group:setosa	2.395104878e+01	-3.239941544e+00	8.299431548e-01	-1.065565233e+00
Group:setosa	2.395104878e+01	-3.193868546e+00	1.738135751e+00	-1.400207263e+00
Group:setosa	2.395104878e+01	-3.274280451e+00	1.796311381e+00	-1.781709813e+00
Group:setosa	2.395104878e+01	-3.426198587e+00	2.147115970e-01	-1.096685826e+00
Group:setosa	2.395104878e+01	-2.898666904e+00	-3.685263209e-01	1.066885511e+00
Group:setosa	2.395104878e+01	-2.986760119e+00	-1.040752853e+00	1.260123336e+00
Group:setosa	2.395104878e+01	-3.289066624e+00	1.719775024e+00	-1.830815932e+00
Group:setosa	2.395104878e+01	-3.217548346e+00	1.559744045e+00	-1.530601573e+00
Group:setosa	2.395104878e+01	-3.280710488e+00	3.119699946e-01	-9.312593006e-01
Group:setosa	2.395104878e+01	-2.996328572e+00	9.955989900e-01	-2.954618607e-01
Group:setosa	2.395104878e+01	-3.115331738e+00	2.646907732e+00	-1.782289390e+00
Group:setosa	2.395104878e+01	-3.225155371e+00	9.064795123e-01	-1.016459114e+00
Group:setosa	2.395104878e+01	-3.150710298e+00	7.964852440e-01	-5.421765770e-01
Group:setosa	2.395104878e+01	-3.512749989e+00	3.666406117e+00	-3.997694347e+00
Group:setosa	2.395104878e+01	-3.025437712e+00	2.275049023e+00	-1.151344623e+00
Group:setosa	2.395104878e+01	-3.354719266e+00	1.800730299e-01	-4.161530394e-01
Group:setosa	2.395104878e+01	-3.222730737e+00	-3.506141144e-01	2.955980172e-01
Group:setosa	2.395104878e+01	-3.325194296e+00	1.930422098e+00	-2.004402209e+00
Group:setosa	2.395104878e+01	-3.066046039e+00	1.115447283e-01	2.285063726e-01
Group:setosa	2.395104878e+01	-3.117046216e+00	1.968324209e+00	-1.300329003e+00
Group:setosa	2.395104878e+01	-3.161244117e+00	9.318400094e-02	-2.021022959e-01
Group:setosa	2.395104878e+01	-3.213958772e+00	1.271379957e+00	-1.248977284e+00
Group:versicolor	-5.615216935e+00	1.004186210e+01	-6.519621059e+00	3.215649701e+00
Group:versicolor	-5.615216935e+00	1.024868462e+01	-5.804917352e+00	3.704610685e+00
Group:versicolor	-5.615216935e+00	9.943698271e+00	-6.462626085e+00	2.991291282e+00
Group:versicolor	-5.615216935e+00	1.036138767e+01	-2.417176069e+00	1.426387179e+00
Group:versicolor	-5.615216935e+00	1.001275296e+01	-5.240171025e+00	2.359766938e+00
Group:versicolor	-5.615216935e+00	1.041179936e+01	-3.858417122e+00	2.787068528e+00
Group:versicolor	-5.615216935e+00	1.024041482e+01	-6.119781087e+00	4.111197033e+00
Group:versicolor	-5.615216935e+00	1.090584788e+01	-1.015301398e+00	2.079713210e+00
Group:versicolor	-5.615216935e+00	1.011688362e+01	-5.245347361e+00	2.491345369e+00
Group:versicolor	-5.615216935e+00	1.062092485e+01	-2.880668319e+00	2.962223151e+00
Group:versicolor	-5.615216935e+00	1.064923750e+01	-5.017724380e-01	7.179454162e-01
Group:versicolor	-5.615216935e+00	1.039815121e+01	-4.640637922e+00	3.454588890e+00
Group:versicolor	-5.615216935e+00	1.028108901e+01	-2.407255222e+00	6.039682860e-01
Group:versicolor	-5.615216935e+00	1.022620509e+01	-4.812049478e+00	2.863504046e+00
Group:versicolor	-5.615216935e+00	1.067831973e+01	-3.455636453e+00	3.320887502e+00
Group:versicolor	-5.615216935e+00	1.016534592e+01	-5.796778432e+00	3.149039957e+00
Group:versicolor	-5.615216935e+00	1.044250973e+01	-4.411028850e+00	3.601907247e+00
Group:versicolor	-5.615216935e+00	1.055607514e+01	-3.132611912e+00	2.296466488e+00
Group:versicolor	-5.615216935e+00	9.870144279e+00	-3.690116360e+00	6.819471831e-01
Group:versicolor	-5.615216935e+00	1.053114407e+01	-2.557064393e+00	1.890362041e+00
Group:versicolor	-5.615216935e+00	1.022200011e+01	-5.782560945e+00	4.160785053e+00
Group:versicolor	-5.615216935e+00	1.037333338e+01	-4.113345186e+00	2.607568099e+00
Group:versicolor	-5.615216935e+00	9.886805548e+00	-4.580527614e+00	1.494637979e+00
Group:versicolor	-5.615216935e+00	1.027590662e+01	-4.317613381e+00	2.430167876e+00
Group:versicolor	-5.615216935e+00	1.024984956e+01	-4.836187813e+00	2.674177843e+00
Group:versicolor	-5.615216935e+00	1.015586380e+01	-5.483095353e+00	2.899597740e+00
Group:versicolor	-5.615216935e+00	9.912325115e+00	-5.571613560e+00	2.068896452e+00
Group:versicolor	-5.615216935e+00	9.854353783e+00	-6.380913392e+00	2.908818970e+00
Group:versicolor	-5.615216935e+00	1.025570315e+01	-4.736114392e+00	3.022314199e+00
Group:versicolor	-5.615216935e+00	1.067066533e+01	-2.511624633e+00	2.148568554e+00
Group:versicolor	-5.615216935e+00	1.054234066e+01	-2.192163948e+00	1.657843871e+00
Group:versicolor	-5.615216935e+00	1.061034365e+01	-1.986693210e+00	1.615836025e+00
Group:versicolor	-5.615216935e+00	1.050278404e+01	-3.338683921e+00	2.448178368e+00
Group:versicolor	-5.615216935e+00	9.994412542e+00	-4.825813254e+00	2.348757042e+00
Group:versicolor	-5.615216935e+00	1.051343952e+01	-4.155521401e+00	3.733967579e+00
Group:versicolor	-5.615216935e+00	1.043311395e+01	-5.820014535e+00	4.658608009e+00
Group:versicolor	-5.615216935e+00	1.005598549e+01	-6.104683903e+00	3.157199709e+00
Group:versicolor	-5.615216935e+00	9.994953659e+00	-3.644075329e+00	8.304496615e-01
Group:versicolor	-5.615216935e+00	1.061987315e+01	-3.897652641e+00	3.551739649e+00
Group:versicolor	-5.615216935e+00	1.045128170e+01	-2.789034778e+00	2.057331946e+00
Group:versicolor	-5.615216935e+00	1.046083810e+01	-3.025580227e+00	2.246176248e+00
Group:versicolor	-5.615216935e+00	1.029183082e+01	-4.946761466e+00	3.195900476e+00
Group:versicolor	-5.615216935e+00	1.043715830e+01	-3.203971933e+00	2.115781938e+00
Group:versicolor	-5.615216935e+00	1.082543598e+01	-9.571257679e-01	1.698210661e+00
Group:versicolor	-5.615216935e+00	1.046435339e+01	-3.391081944e+00	2.588398452e+00
Group:versicolor	-5.615216935e+00	1.061105381e+01	-3.922370360e+00	3.409853543e+00
Group:versicolor	-5.615216935e+00	1.051878253e+01	-3.890694377e+00	3.153313053e+00
Group:versicolor	-5.615216935e+00	1.032077935e+01	-4.580680364e+00	2.806238175e+00
Group:versicolor	-5.615216935e+00	1.089457700e+01	-1.457339472e+00	2.372829296e+00
Group:versicolor	-5.615216935e+00	1.049451423e+01	-3.653547656e+00	2.854764717e+00
Group:virginica	-1.833583185e+01	-7.227089815e+00	1.899493707e+00	-3.378926548e-01
Group:virginica	-1.833583185e+01	-6.849393337e+00	5.040314982e+00	-2.101851058e+00
Group:virginica	-1.833583185e+01	-7.435674190e+00	2.103482829e+00	-2.031354659e+00
Group:virginica	-1.833583185e+01	-6.992893098e+00	3.927854191e+00	-1.944609251e+00
Group:virginica	-1.833583185e+01	-7.249530388e+00	2.766969169e+00	-1.559317722e+00
Group:virginica	-1.833583185e+01	-7.757749685e+00	1.106192642e+00	-2.479973819e+00
Group:virginica	-1.833583185e+01	-6.401382477e+00	7.177768151e+00	-2.154843833e+00
Group:virginica	-1.833583185e+01	-7.492293053e+00	2.291795383e+00	-2.723379242e+00
Group:virginica	-1.833583185e+01	-7.355898155e+00	4.058121978e+00	-3.504467543e+00
Group:virginica	-1.833583185e+01	-7.432111525e+00	1.407047598e-01	-2.671046806e-03
Group:virginica	-1.833583185e+01	-6.920236789e+00	3.062138770e+00	-9.277684111e-01
Group:virginica	-1.833583185e+01	-7.103540128e+00	4.171357904e+00	-2.531880149e+00
Group:virginica	-1.833583185e+01	-7.246564637e+00	2.691613468e+00	-1.765567972e+00
Group:virginica	-1.833583185e+01	-6.930468021e+00	5.436891410e+00	-2.590909719e+00
Group:virginica	-1.833583185e+01	-7.041067675e+00	4.083118771e+00	-1.491719210e+00
Group:virginica	-1.833583185e+01	-7.068102145e+00	2.624697646e+00	-7.187906602e-01
Group:virginica	-1.833583185e+01	-6.998197150e+00	3.537634755e+00	-1.744273153e+00
Group:virginica	-1.833583185e+01	-7.501641465e+00	-7.144666552e-01	1.978292741e-02
Group:virginica	-1.833583185e+01	-8.129687326e+00	1.259997492e+00	-3.740801875e+00
Group:virginica	-1.833583185e+01	-6.935082384e+00	6.382685158e+00	-4.030076832e+00
Group:virginica	-1.833583185e+01	-7.328141483e+00	1.781059559e+00	-1.116637679e+00
Group:virginica	-1.833583185e+01	-6.739483371e+00	5.058074438e+00	-1.561538355e+00
Group:virginica	-1.833583185e+01	-7.856463051e+00	1.453333631e+00	-3.252804693e+00
Group:virginica	-1.833583185e+01	-6.938036089e+00	4.658234466e+00	-2.457085688e+00
Group:virginica	-1.833583185e+01	-7.117616145e+00	2.159144396e+00	-7.869687498e-01
Group:virginica	-1.833583185e+01	-7.259950966e+00	2.015413144e+00	-1.660159784e+00
Group:virginica	-1.833583185e+01	-6.836945465e+00	4.651276202e+00	-2.058659091e+00
Group:virginica	-1.833583185e+01	-6.732265267e+00	4.355953851e+00	-1.378608205e+00
Group:virginica	-1.833583185e+01	-7.215277813e+00	3.523269707e+00	-2.149316121e+00
Group:virginica	-1.833583185e+01	-7.213839012e+00	2.798213328e+00	-2.375120243e+00
Group:virginica	-1.833583185e+01	-7.578671790e+00	2.298152375e+00	-3.012101804e+00
Group:virginica	-1.833583185e+01	-7.415886552e+00	-5.078152609e-01	-1.793690494e-01
Group:virginica	-1.833583185e+01	-7.262602083e+00	3.369016335e+00	-2.090384228e+00
Group:virginica	-1.833583185e+01	-6.792473704e+00	4.832630492e+00	-2.352257077e+00
Group:virginica	-1.833583185e+01	-6.867507270e+00	5.358163188e+00	-2.994693641e+00
Group:virginica	-1.833583185e+01	-7.784469522e+00	9.260190079e-01	-2.343519964e+00
Group:virginica	-1.833583185e+01	-7.052103655e+00	2.072687191e+00	-1.365597579e-02
Group:virginica	-1.833583185e+01	-6.917785245e+00	3.479459124e+00	-1.362770603e+00
Group:virginica	-1.833583185e+01	-6.676121655e+00	4.534924942e+00	-1.295653992e+00
Group:virginica	-1.833583185e+01	-7.216403798e+00	2.429147756e+00	-1.499201707e+00
Group:virginica	-1.833583185e+01	-7.328804262e+00	2.119460357e+00	-1.224193790e+00
Group:virginica	-1.833583185e+01	-7.249016180e+00	2.274293113e+00	-1.330565780e+00
Group:virginica	-1.833583185e+01	-6.849393337e+00	5.040314982e+00	-2.101851058e+00
Group:virginica	-1.833583185e+01	-7.334034029e+00	1.806378550e+00	-1.084455608e+00
Group:virginica	-1.833583185e+01	-7.306913226e+00	1.542130910e+00	-5.512411778e-01
Group:virginica	-1.833583185e+01	-7.243712128e+00	2.664512549e+00	-1.530901878e+00
Group:virginica	-1.833583185e+01	-7.095933104e+00	4.824622436e+00	-3.046022608e+00
Group:virginica	-1.833583185e+01	-7.030809533e+00	3.382780112e+00	-1.575637225e+00
Group:virginica	-1.833583185e+01	-6.927957055e+00	2.457129019e+00	2.729039162e-02
Group:virginica	-1.833583185e+01	-6.702692921e+00	4.509026566e+00	-1.280395967e+00
