	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Group:M	-5.029249186e+01	1.013196171e+00	-1.067488889e+00	1.157850526e+00	9.816005967e-01	2.572537206e-01	3.123434019e-01	4.897365123e-01	5.327280436e-01	6.132736049e-01
Group:M	-5.029249186e+01	-7.146281440e+00	4.767664534e+00	-2.977362252e+00	-3.729660352e+00	-2.777394643e+00	-1.573476882e+00	-1.111391593e+00	-9.272613650e-01	-7.562498070e-01
Group:M	-5.029249186e+01	-2.503762269e+00	1.069835725e+00	-3.157618819e-01	-1.434208481e-01	-4.368798382e-01	-6.258256299e-01	-5.343091720e-01	4.152752437e-02	1.991085016e-01
Group:M	-5.029249186e+01	-8.360665540e-01	-7.737221634e-01	1.119688190e+00	3.890380737e-01	2.502812799e-01	3.682755858e-01	2.064842355e-01	-5.932757669e-02	-3.015403259e-03
Group:M	-5.029249186e+01	-5.830420632e+00	2.701699295e+00	-1.668864294e+00	-2.444164987e+00	-1.455780104e+00	-8.259176427e-01	-6.632188288e-01	-5.573775372e-01	-4.523977400e-01
Group:M	-5.029249186e+01	-5.968663560e+00	2.348025287e+00	-1.263803736e+00	-7.050415521e-01	1.343693964e-01	1.094517338e-01	1.989488273e-02	-2.683131386e-01	-8.416302375e-02
Group:M	-5.029249186e+01	-9.826186929e+00	5.432874977e+00	-4.241395699e+00	-4.280249547e+00	-3.144947460e+00	-2.209845426e+00	-2.356680849e+00	-1.506803932e+00	-1.301865414e+00
Group:B	2.972469407e+01	-4.149342437e-01	2.342001178e-02	-5.210329242e-01	-8.346385253e-02	-3.458791510e-01	-1.678744192e-01	-1.738151665e-01	5.923582508e-02	-3.053482207e-02
Group:M	-5.029249186e+01	-1.470802354e+01	8.730982262e+00	-9.357145596e+00	-8.519750486e+00	-7.601941193e+00	-5.265205500e+00	-4.847753841e+00	-2.719061655e+00	-2.529526008e+00
Group:M	-5.029249186e+01	-1.086710098e+01	5.832388539e+00	-4.556453016e+00	-4.851195960e+00	-3.208699625e+00	-2.277705085e+00	-2.347992875e+00	-1.477101498e+00	-1.482164407e+00
Group:M	-5.029249186e+01	-1.654019629e+01	8.334013130e+00	-7.550119696e+00	-7.736076767e+00	-6.336267545e+00	-4.770050450e+00	-5.065408655e+00	-3.349658372e+00	-3.040775707e+00
Group:M	-5.029249186e+01	-1.302087354e+01	7.238048251e+00	-5.196007670e+00	-5.112698838e+00	-4.434780540e+00	-3.712087048e+00	-3.785024562e+00	-2.338497735e+00	-2.323545720e+00
Group:M	-5.029249186e+01	6.063268307e+00	-1.763056074e+00	1.626870192e+00	2.116543635e+00	1.721521063e+00	1.774930618e+00	1.560370198e+00	5.862793598e-01	8.854247424e-01
Group:M	-5.029249186e+01	-1.043066441e+01	5.652086072e+00	-4.406343369e+00	-4.894935995e+00	-3.915415611e+00	-2.946394285e+00	-2.859412916e+00	-1.932136003e+00	-1.775177714e+00
Group:M	-5.029249186e+01	-1.257280438e+01	5.935943934e+00	-4.514081768e+00	-4.983160600e+00	-3.761153303e+00	-2.738543207e+00	-2.805218682e+00	-1.862149289e+00	-1.718425121e+00
Group:M	-5.029249186e+01	-7.518505654e-01	2.559816594e-01	-3.614011479e-02	-7.082251359e-02	8.315558764e-01	4.382632450e-01	4.424240674e-01	2.613557089e-01	3.280360180e-01
Group:B	2.972469407e+01	-2.945758703e+00	2.124806629e+00	-1.674883639e+00	-1.657108402e+00	-1.462461929e+00	-1.381399272e+00	-1.501615099e+00	-1.226674789e+00	-1.103382857e+00
Group:M	-5.029249186e+01	-9.093633927e+00	4.984274788e+00	-3.163646042e+00	-3.204428577e+00	-1.893634012e+00	-1.317880028e+00	-1.049944514e+00	-6.626224985e-01	-6.473313073e-01
Group:B	2.972469407e+01	3.045939076e+00	-2.063805819e+00	1.899783337e+00	1.241312100e+00	1.067316854e+00	5.800721219e-01	6.840375700e-01	5.347362216e-01	5.094598664e-01
Group:B	2.972469407e+01	4.904267795e+00	-3.923848449e+00	3.771267739e+00	3.936221791e+00	3.049419790e+00	2.476195001e+00	2.386601944e+00	1.606099596e+00	1.460514862e+00
Group:B	2.972469407e+01	1.605172174e-01	-5.233952250e-01	1.457664721e-01	3.420496288e-01	-6.970233393e-02	9.290259441e-02	1.567902468e-01	1.598002225e-01	2.223302217e-01
Group:B	2.972469407e+01	1.216047624e+00	-1.390072394e+00	7.955582164e-01	4.988278245e-01	7.445000125e-01	8.736872117e-01	8.586908315e-01	4.981262257e-01	3.752747216e-01
Group:B	2.972469407e+01	1.863391473e-01	-3.931614526e-01	2.190261379e-01	2.532582497e-01	4.364497921e-01	3.565737103e-01	4.324268649e-01	2.471529577e-01	2.970656638e-01
Group:M	-5.029249186e+01	-5.487037613e+00	3.449074746e+00	-3.779411284e+00	-4.228401144e+00	-4.145618186e+00	-3.318455125e+00	-2.986258428e+00	-1.677154722e+00	-1.413203676e+00
Group:M	-5.029249186e+01	-1.311508373e+01	6.092821775e+00	-5.328031130e+00	-5.180799227e+00	-3.953207555e+00	-2.943091791e+00	-3.140025366e+00	-2.065026127e+00	-1.979470705e+00
Group:B	2.972469407e+01	1.325630779e+00	-9.246301637e-01	1.055357955e+00	1.695106520e+00	1.584061573e+00	1.122902745e+00	1.336392108e+00	8.248506499e-01	9.152213546e-01
Group:M	-5.029249186e+01	-1.580911321e+00	-2.217797449e-01	1.989745855e-01	5.945437393e-01	8.346668794e-01	4.407816854e-01	5.109492726e-01	-1.653740882e-03	-1.250410784e-01
Group:M	-5.029249186e+01	-7.868642283e+00	4.275451188e+00	-3.209645830e+00	-3.701865325e+00	-3.056410956e+00	-2.056108749e+00	-1.846305977e+00	-1.101931051e+00	-1.001473140e+00
Group:B	2.972469407e+01	-1.894529534e-01	-3.182992343e-01	-2.730625370e-01	-1.773790401e-02	-2.734536648e-01	-1.267801775e-01	2.836262896e-02	7.350444252e-02	2.074652243e-01
Group:B	2.972469407e+01	-2.183998912e+00	1.865308849e+00	-1.200152551e+00	-1.294158964e+00	-5.078798078e-01	-7.842391286e-01	-6.523427924e-01	-7.585192745e-01	-7.922969515e-01
Group:B	2.972469407e+01	1.136750782e+00	7.766489397e-01	-5.384497063e-01	-5.053223841e-01	-9.745030392e-01	-9.671773883e-01	-2.907280229e-01	-2.531053667e-01	-3.324376543e-02
Group:B	2.972469407e+01	9.476817457e-01	4.364379234e-01	4.165287616e-01	1.001934156e+00	-1.301934908e-01	-7.649262858e-01	-8.457058931e-01	-6.343175635e-01	-5.964938563e-01
Group:M	-5.029249186e+01	-3.438022510e+00	3.521792230e+00	-2.861778471e+00	-3.411635222e+00	-2.966082433e+00	-2.118197004e+00	-2.241698303e+00	-1.280321394e+00	-1.140613666e+00
Group:B	2.972469407e+01	7.308902305e-01	1.895919302e+00	-1.888363275e+00	-1.434727003e+00	-1.251463802e+00	-7.023980956e-01	-5.372900750e-01	-5.410675528e-01	-3.806669200e-01
Group:M	-5.029249186e+01	-8.897862274e+00	4.668567222e+00	-2.999698861e+00	-2.699650304e+00	-2.044329500e+00	-1.499389795e+00	-1.435599666e+00	-9.355929157e-01	-9.427803545e-01
Group:M	-5.029249186e+01	-8.469061623e+00	4.308885121e+00	-3.009944569e+00	-3.011767326e+00	-2.815213424e+00	-2.438159047e+00	-2.506113954e+00	-1.517430985e+00	-1.447927550e+00
Group:B	2.972469407e+01	1.009389356e+00	-3.138049293e-01	1.216362741e+00	1.820556767e+00	1.070678298e+00	8.359443680e-01	9.117252816e-01	4.546382567e-01	2.526331383e-01
Group:B	2.972469407e+01	8.472122260e-02	-3.976574380e-01	3.318788716e-01	1.032427037e+00	1.283060166e+00	1.022673226e+00	9.999008277e-01	6.838374059e-01	6.549418812e-01
Group:B	2.972469407e+01	1.321050056e+01	-2.638113028e+00	2.916821522e+00	2.543785928e+00	2.728702244e+00	1.699546092e+00	4.656327052e-01	2.163197588e-01	4.334385434e-01
Group:B	2.972469407e+01	6.896738107e-01	-7.614820196e-01	4.701965147e-01	8.067590610e-01	9.605453599e-01	4.337125500e-01	4.693553365e-01	4.280772940e-01	4.258654798e-01
Group:M	-5.029249186e+01	-5.497933602e+00	1.845919919e+00	-2.596803277e+00	-2.429859220e+00	-1.760704451e+00	-1.237066806e+00	-1.196294783e+00	-7.972293338e-01	-7.623265318e-01
Group:B	2.972469407e+01	2.938137330e+00	3.692145650e+00	-4.031040771e+00	-4.437656130e+00	-3.336437267e+00	-2.055400740e+00	-1.959949268e+00	-1.360238026e+00	-1.297876008e+00
Group:M	-5.029249186e+01	-5.119531629e-01	3.687610122e-02	6.021688987e-01	-2.459003883e-01	-3.604430417e-01	1.458579030e-01	1.263969864e-01	1.386562649e-02	2.827015719e-02
Group:M	-5.029249186e+01	-1.349439348e+01	7.739187504e+00	-7.056874978e+00	-7.915139653e+00	-6.084103861e+00	-4.648007645e+00	-4.635510437e+00	-2.984838978e+00	-2.845557497e+00
Group:B	2.972469407e+01	2.100115793e+00	-1.610667336e+00	1.239147391e+00	8.099205654e-01	6.260889129e-01	4.805587483e-01	4.984381002e-01	3.727138095e-01	3.400753185e-01
Group:M	-5.029249186e+01	-9.169144923e+00	4.911861004e+00	-4.748554863e+00	-3.539463446e+00	-2.102862072e+00	-1.709765493e+00	-1.704943058e+00	-1.085825193e+00	-1.013750259e+00
Group:B	2.972469407e+01	4.687202038e+00	-1.333948464e+00	1.053060552e+00	1.117139666e+00	9.495432194e-01	-7.113011961e-02	3.872460923e-01	5.648296210e-01	6.498765651e-01
Group:M	-5.029249186e+01	1.221156415e-01	1.269807755e+00	-1.637748847e+00	-2.107691082e+00	-1.302504923e+00	-9.894500163e-01	-7.425689430e-01	-8.489779153e-01	-7.803059891e-01
Group:M	-5.029249186e+01	1.098914355e+01	-3.851923497e+00	4.313383582e+00	4.758320918e+00	2.858785550e+00	1.336954791e+00	1.265645528e+00	5.284334678e-01	8.833834351e-01
Group:B	2.972469407e+01	3.385715017e+00	-2.341664624e+00	2.127427582e+00	1.730732537e+00	1.173003965e+00	7.629568573e-01	7.473022726e-01	4.891268723e-01	4.347017041e-01
Group:B	2.972469407e+01	3.714186379e+00	-2.048476086e+00	2.610116962e+00	2.898173179e+00	1.563531294e+00	1.038690887e+00	1.125858221e+00	7.527364551e-01	5.684730782e-01
Group:B	2.972469407e+01	9.639983105e+00	-5.147284470e+00	5.373712832e+00	4.903406171e+00	4.439693542e+00	3.433031344e+00	3.610669263e+00	2.425962042e+00	2.259263144e+00
Group:M	-5.029249186e+01	1.155227166e+01	-7.091775034e+00	5.892047408e+00	5.400090280e+00	3.990576732e+00	3.004077346e+00	2.916937480e+00	2.104186112e+00	1.762006782e+00
Group:M	-5.029249186e+01	-2.367020878e+00	2.489537955e+00	-2.389659828e+00	-1.902945401e+00	-2.352967370e+00	-1.548044544e+00	-1.444296492e+00	-6.129045461e-01	-7.426789983e-01
Group:B	2.972469407e+01	2.929252810e+00	-2.045815670e+00	2.225877201e+00	2.075162971e+00	1.620794347e+00	1.060473918e+00	1.134185577e+00	6.721115737e-01	6.806723288e-01
Group:M	-5.029249186e+01	-4.942621259e+00	2.198013771e+00	-2.006923490e+00	-1.306206885e+00	-6.383203751e-01	-3.133253147e-01	3.807721521e-02	-3.415148739e-02	1.219188237e-02
Group:M	-5.029249186e+01	-1.161193180e+01	7.014930525e+00	-6.176564211e+00	-5.094176392e+00	-4.141139853e+00	-3.339570675e+00	-3.655400274e+00	-2.286816426e+00	-2.084248747e+00
Group:M	-5.029249186e+01	-3.689905238e+00	6.025173924e-01	-2.813954455e-01	-8.031063718e-02	5.756404247e-01	8.960450414e-01	1.004944062e+00	7.339987456e-01	8.723567302e-01
Group:B	2.972469407e+01	5.472330983e+00	-3.248836686e+00	3.437836003e+00	3.689865665e+00	3.008073844e+00	2.699536850e+00	2.811097931e+00	1.828046435e+00	1.650430707e+00
Group:B	2.972469407e+01	9.728648257e+00	-4.727119316e+00	3.942484307e+00	3.360321539e+00	2.838619746e+00	1.979931140e+00	2.206614970e+00	1.577214315e+00	1.578109822e+00
Group:B	2.972469407e+01	4.750928397e+00	-3.565216941e+00	3.007548360e+00	2.857107585e+00	1.741962260e+00	1.398225069e+00	1.346751724e+00	9.230691544e-01	9.025116832e-01
Group:M	-5.029249186e+01	-1.213560441e+01	7.026111948e+00	-6.400491107e+00	-5.654783793e+00	-4.134987468e+00	-3.471008956e+00	-3.899625600e+00	-2.391790381e+00	-2.164550034e+00
Group:B	2.972469407e+01	2.067902973e+00	-1.950644738e+00	8.752345519e-01	9.451215951e-01	1.238512043e+00	1.311329465e+00	1.407675771e+00	9.900637199e-01	8.496615784e-01
Group:B	2.972469407e+01	3.740547484e+00	-2.823059745e+00	2.534327314e+00	2.565841563e+00	1.820285584e+00	1.102884846e+00	1.035523797e+00	6.985767492e-01	6.115719709e-01
Group:M	-5.029249186e+01	-6.831373384e+00	4.226316408e+00	-3.633409761e+00	-3.446486650e+00	-2.232889625e+00	-1.897518763e+00	-2.063221058e+00	-1.173838658e+00	-1.123918052e+00
Group:M	-5.029249186e+01	-2.410471094e+00	7.078082599e-01	-8.675773513e-01	-4.955057183e-01	-5.213898762e-01	-2.489090519e-01	-2.830983888e-01	-2.662922249e-01	-7.978222303e-02
Group:B	2.972469407e+01	1.552775735e+00	-4.137321597e-01	2.192099288e-02	-6.114570460e-02	-3.673797629e-01	-2.935909091e-01	-2.815315701e-02	1.633715565e-01	8.930205467e-02
Group:B	2.972469407e+01	-1.510385227e+00	1.455941218e+00	-1.200386808e+00	-7.804315350e-01	-1.042689170e+00	-5.066076153e-01	-2.415164313e-01	-5.195215105e-02	-2.059989731e-01
Group:B	2.972469407e+01	1.319797061e+00	-7.545645697e-01	6.082681886e-01	1.073832166e-01	6.186596822e-01	4.496246747e-01	6.465092161e-01	3.619521446e-01	3.020535183e-01
Group:M	-5.029249186e+01	-1.147402740e+01	6.675696645e+00	-5.628690004e+00	-5.295625852e+00	-4.177746734e+00	-3.093486268e+00	-3.247355272e+00	-2.067862044e+00	-2.056589813e+00
Group:M	-5.029249186e+01	-1.299187375e+01	6.594798460e+00	-5.802367087e+00	-5.512083366e+00	-4.762046366e+00	-3.478043536e+00	-3.647106118e+00	-2.208233856e+00	-2.025780581e+00
Group:B	2.972469407e+01	-3.560786938e+00	3.234182155e+00	-2.372288828e+00	-2.882592424e+00	-3.153535079e+00	-2.910972724e+00	-2.589355878e+00	-1.881642005e+00	-1.824868653e+00
Group:B	2.972469407e+01	8.274066806e-01	-1.659162712e+00	1.671714669e+00	1.915127215e+00	1.279297616e+00	1.191880167e+00	1.145001434e+00	7.816328645e-01	6.990361680e-01
Group:B	2.972469407e+01	2.599250258e+00	-1.304884066e+00	1.824102788e+00	1.864575622e+00	1.414880729e+00	8.680987389e-01	7.902810761e-01	5.423286855e-01	4.034228989e-01
Group:B	2.972469407e+01	1.064499938e+00	1.023314774e-01	-5.893851308e-02	-2.434921694e-01	-1.017810181e+00	-1.092899620e+00	-1.071196057e+00	-6.942232949e-01	-5.524233552e-01
Group:M	-5.029249186e+01	-6.771044708e+00	5.090208860e+00	-3.666051300e+00	-4.436523899e+00	-2.997302229e+00	-2.149349396e+00	-1.654020793e+00	-7.091074624e-01	-7.593388097e-01
Group:B	2.972469407e+01	5.696955767e+00	-3.243173005e+00	3.737884930e+00	3.999319300e+00	3.244239807e+00	2.393970166e+00	2.517142122e+00	1.685077682e+00	1.386991226e+00
Group:B	2.972469407e+01	1.369774841e+00	-1.856441424e+00	1.759973525e+00	1.172808719e+00	7.556451192e-01	5.562590402e-01	3.997026136e-01	1.887865011e-01	1.536819934e-01
Group:M	-5.029249186e+01	1.516972008e+01	-7.390694367e+00	6.335177112e+00	5.531512629e+00	3.730267776e+00	2.292845836e+00	2.371064476e+00	1.676431347e+00	1.741206655e+00
Group:B	2.972469407e+01	2.975265074e+00	-2.375630424e+00	2.910475019e+00	3.184841768e+00	2.773747349e+00	2.183596527e+00	2.141548751e+00	1.279253214e+00	1.113484930e+00
Group:B	2.972469407e+01	9.568941812e-01	8.352005044e-01	-5.138895478e-01	1.915819505e-01	2.321350417e-01	1.311889772e-02	1.405597013e-01	2.504864245e-02	2.318219476e-02
Group:B	2.972469407e+01	6.233632135e+00	-2.127248716e+00	2.017439382e+00	2.760584259e+00	2.409182651e+00	1.888110770e+00	1.797905964e+00	1.360812992e+00	1.130985884e+00
Group:B	2.972469407e+01	1.313799564e+01	-4.179576564e+00	2.849915602e+00	1.489001581e+00	9.879044953e-01	1.310884537e+00	7.890335922e-01	7.775999896e-01	7.645440882e-01
Group:B	2.972469407e+01	3.052354365e+00	2.267830265e-01	-8.268273300e-02	-2.254715751e-01	-9.196357197e-01	-9.932976423e-01	-1.075385505e+00	-6.318680601e-01	-7.049188734e-01
Group:B	2.972469407e+01	1.209841624e+00	1.166813905e-01	5.670029290e-01	-9.787189089e-03	1.933505899e-01	-1.365012928e-01	-4.785395809e-02	-1.924163316e-01	-3.496031598e-01
Group:B	2.972469407e+01	3.212478991e+00	-2.139800805e+00	2.170368829e+00	1.957470776e+00	1.354945036e+00	9.773420087e-01	9.528008826e-01	6.254751994e-01	5.259524634e-01
Group:B	2.972469407e+01	6.155558918e-01	2.953229801e+00	-3.412809459e+00	-2.995243583e+00	-2.214269998e+00	-2.318163284e+00	-3.070481302e+00	-2.046452766e+00	-1.964504684e+00
Group:M	-5.029249186e+01	-5.926670512e+00	3.215250981e+00	-1.973751303e+00	-2.220053134e+00	-1.380072964e+00	-1.229599645e+00	-1.016816788e+00	-6.381604730e-01	-6.564218189e-01
Group:M	-5.029249186e+01	-2.239776157e+00	1.618163210e+00	-5.044895239e-01	-8.375618292e-01	-5.164297503e-01	-2.421709123e-01	-8.481376857e-02	1.329532184e-01	1.062486703e-01
Group:M	-5.029249186e+01	-9.997595707e+00	4.646171591e+00	-4.086511493e+00	-2.742492162e+00	-1.676152210e+00	-1.207692201e+00	-1.103640616e+00	-1.026017756e+00	-5.552457725e-01
Group:B	2.972469407e+01	1.135278719e+00	-8.963715363e-01	9.027526305e-01	3.881288015e-01	1.044411944e+00	5.843535985e-01	6.890136117e-01	3.002294186e-01	2.223461617e-01
Group:M	-5.029249186e+01	-5.205396700e+00	2.914955249e+00	-2.931533370e+00	-2.321597183e+00	-1.508174986e+00	-1.169182364e+00	-9.139133543e-01	-5.865755011e-01	-6.215543946e-01
Group:M	-5.029249186e+01	1.339577420e+01	-4.290415789e+00	3.081501201e+00	4.245657891e+00	2.037636924e+00	1.425224145e-01	3.382177655e-02	2.305286078e-01	4.160480660e-01
Group:B	2.972469407e+01	5.822391651e+00	-3.251309228e+00	2.599391584e+00	1.905426996e+00	1.896989487e+00	1.174027691e+00	1.442222350e+00	1.094774400e+00	9.951258739e-01
Group:B	2.972469407e+01	2.719507173e+00	-1.382173149e+00	5.789661451e-01	1.449141972e-01	3.993271478e-01	5.090229771e-01	1.296045129e-01	1.686515319e-01	1.355230719e-01
Group:B	2.972469407e+01	1.390882299e+00	-1.697402422e+00	1.104019044e+00	5.333221986e-01	1.886665441e-01	1.735920339e-02	-4.413233038e-02	-1.660900189e-02	-2.181693747e-02
Group:M	-5.029249186e+01	-1.310738447e+01	5.990473990e+00	-4.623589279e+00	-4.666225636e+00	-3.962112581e+00	-3.009357169e+00	-3.284222988e+00	-2.238671419e+00	-2.066975682e+00
Group:M	-5.029249186e+01	-7.759096677e+00	3.868857060e+00	-4.525926950e+00	-4.262787508e+00	-3.391684497e+00	-2.521633173e+00	-2.650171921e+00	-1.759694639e+00	-1.507336276e+00
Group:B	2.972469407e+01	9.907525453e+00	-4.633694205e+00	3.958906951e+00	3.870454412e+00	3.282341572e+00	2.025685050e+00	2.054508742e+00	1.504210118e+00	1.328526711e+00
Group:M	-5.029249186e+01	-1.735218548e+00	3.669182194e-02	7.262029751e-02	-4.579407374e-01	-9.596756308e-01	-9.501984997e-01	-1.178728739e+00	-4.049710305e-01	-1.967152836e-01
Group:B	2.972469407e+01	3.065933367e+00	-1.423555083e+00	1.519849016e+00	1.178719492e+00	1.236884750e+00	7.340017519e-01	9.587928820e-01	4.153297969e-01	4.036676265e-01
Group:M	-5.029249186e+01	-9.032650396e+00	4.492530244e+00	-3.941001788e+00	-3.973159396e+00	-3.007462954e+00	-2.543847043e+00	-2.478663097e+00	-1.346031624e+00	-1.208651445e+00
Group:M	-5.029249186e+01	-9.013768244e+00	4.175600357e+00	-3.483199425e+00	-3.699935739e+00	-3.464414714e+00	-2.941902337e+00	-3.105798537e+00	-2.036539878e+00	-1.832561021e+00
Group:B	2.972469407e+01	6.526368037e+00	-4.350282242e+00	3.523377946e+00	3.384091279e+00	3.299216795e+00	2.394652482e+00	2.540061630e+00	1.751072883e+00	1.606223309e+00
Group:M	-5.029249186e+01	-6.781628712e+00	2.454235896e+00	-2.268256572e+00	-1.935904434e+00	-1.517388515e+00	-1.193494634e+00	-1.260874463e+00	-8.419487465e-01	-7.697647641e-01
Group:M	-5.029249186e+01	-1.662226764e+01	8.863124806e+00	-7.516026336e+00	-6.928654157e+00	-5.565684703e+00	-4.202578381e+00	-4.474879703e+00	-2.959649325e+00	-2.798793851e+00
Group:B	2.972469407e+01	1.748094348e+00	-7.597635420e-01	2.960070805e-01	7.249756798e-01	3.450921018e-01	5.110716105e-01	7.276980650e-01	7.082595729e-01	4.209057872e-01
Group:B	2.972469407e+01	6.467080526e-01	-7.124921827e-01	5.068961403e-01	1.222751151e-01	7.287512626e-02	-1.791280071e-01	-2.278629766e-01	-7.730933434e-02	-8.537842311e-02
Group:M	-5.029249186e+01	-5.575271466e+00	4.973549198e+00	-4.880849802e+00	-3.045103852e+00	-1.669137613e+00	-1.088533377e+00	-4.357969465e-01	-1.057251033e-01	1.845402439e-01
